date,w_target,w_adj,w_prev,turnover,cost,port_ret,alert_level,applied_scale,width_z,stress,is_month_end,is_monday,days_since_month_end
2024-01-03,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-04,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-05,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-08,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.008914790247468656,False,True,-1
2024-01-09,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-10,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-11,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-12,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-15,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,9.503872277820803e-05,False,True,-1
2024-01-16,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-17,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-18,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-19,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2024-01-22,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",1.0,0.001,0.0009182432600118862,red,0.6,2.6510856287706144,0.9986765008624496,False,True,-1
2024-01-23,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",0.0,0.0,-0.0005041572309369968,green,1.0,0.0,0.0,False,False,-1
2024-01-24,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",0.0,0.0,0.00010749753995997757,green,1.0,0.0,0.0,False,False,-1
2024-01-25,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",0.0,0.0,8.268152729318246e-05,green,1.0,0.0,0.0,False,False,-1
2024-01-26,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",0.0,0.0,0.0007523396937729743,green,1.0,0.0,0.0,False,False,-1
2024-01-29,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",0.0,0.0,0.0005782877725182267,green,1.0,0.029456602204886963,0.0005155796517991359,False,True,-1
2024-01-30,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",0.0,0.0,0.0028815112659659192,green,1.0,0.0,0.0,False,False,-1
2024-01-31,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",2.0,0.002,-0.021671826625387025,green,1.0,0.350015750950273,0.16315167013169535,True,False,0
2024-02-01,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.009493670886076,green,1.0,0.0,0.0,False,False,1
2024-02-02,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.024760383386581486,green,1.0,0.0,0.0,False,False,2
2024-02-05,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.004676539360872978,green,1.0,1.978105188820259,0.8444800833316013,False,True,5
2024-02-06,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0015515903801397446,green,1.0,0.0,0.0,False,False,6
