target,source,neighbor_idx
510300,510300,0
510300,510500,1
510300,510050,2
510300,159915,3
510300,159901,4
510300,159928,12
510300,512880,13
510300,512000,14
510300,512800,15
510500,510300,0
510500,510500,1
510500,159915,3
510500,159901,4
510500,512880,13
510500,512000,14
510500,512400,18
510500,512660,19
510500,512980,20
510050,510300,0
510050,510050,2
510050,159901,4
510050,159928,12
510050,512880,13
510050,512000,14
510050,512800,15
510050,512200,17
510050,510900,24
159915,510300,0
159915,510500,1
159915,159915,3
159915,159901,4
159915,512010,10
159915,512000,14
159915,512660,19
159915,512980,20
159915,512120,23
159901,510300,0
159901,510500,1
159901,510050,2
159901,159915,3
159901,159901,4
159901,512010,10
159901,159928,12
159901,512980,20
159901,512120,23
512760,510500,1
512760,159915,3
512760,159901,4
512760,512760,5
512760,512480,6
512760,515030,7
512760,515050,11
512760,512980,20
512760,515880,21
512480,510500,1
512480,159915,3
512480,159901,4
512480,512760,5
512480,512480,6
512480,515030,7
512480,515050,11
512480,512980,20
512480,515880,21
515030,159915,3
515030,159901,4
515030,512760,5
515030,512480,6
515030,515030,7
515030,512170,9
515030,515050,11
515030,512400,18
515030,159996,22
512690,510300,0
512690,510050,2
512690,159915,3
512690,159901,4
512690,512690,8
512690,512170,9
512690,512010,10
512690,159928,12
512690,512120,23
512170,159915,3
512170,159901,4
512170,515030,7
512170,512690,8
512170,512170,9
512170,512010,10
512170,515050,11
512170,159996,22
512170,512120,23
512010,510300,0
512010,510500,1
512010,510050,2
512010,159915,3
512010,159901,4
512010,512170,9
512010,512010,10
512010,159928,12
512010,512120,23
515050,510500,1
515050,159915,3
515050,159901,4
515050,512760,5
515050,512480,6
515050,515030,7
515050,512170,9
515050,515050,11
515050,515880,21
159928,510300,0
159928,510500,1
159928,510050,2
159928,159915,3
159928,159901,4
159928,512690,8
159928,512010,10
159928,159928,12
159928,512120,23
512880,510300,0
512880,510500,1
512880,510050,2
512880,159915,3
512880,159901,4
512880,512880,13
512880,512000,14
512880,512200,17
512880,512980,20
512000,510300,0
512000,510500,1
512000,510050,2
512000,159915,3
512000,159901,4
512000,512880,13
512000,512000,14
512000,512200,17
512000,512980,20
512800,510300,0
512800,510050,2
512800,159901,4
512800,512880,13
512800,512000,14
512800,512800,15
512800,512200,17
512800,510900,24
512800,159920,25
515220,510050,2
515220,512760,5
515220,515030,7
515220,512880,13
515220,512000,14
515220,512800,15
515220,515220,16
515220,512400,18
515220,159996,22
512200,510300,0
512200,510500,1
512200,510050,2
512200,159901,4
512200,512880,13
512200,512000,14
512200,512800,15
512200,512200,17
512200,510900,24
512400,510300,0
512400,510500,1
512400,510050,2
512400,159915,3
512400,159901,4
512400,512880,13
512400,512000,14
512400,512400,18
512400,512660,19
512660,510300,0
512660,510500,1
512660,159915,3
512660,159901,4
512660,512880,13
512660,512000,14
512660,512400,18
512660,512660,19
512660,512980,20
512980,510300,0
512980,510500,1
512980,159915,3
512980,159901,4
512980,512880,13
512980,512000,14
512980,512400,18
512980,512660,19
512980,512980,20
515880,510500,1
515880,159915,3
515880,159901,4
515880,512760,5
515880,512480,6
515880,512170,9
515880,515050,11
515880,512980,20
515880,515880,21
159996,510300,0
159996,510050,2
159996,159915,3
159996,159901,4
159996,512760,5
159996,515030,7
159996,512170,9
159996,515050,11
159996,159996,22
512120,510300,0
512120,510500,1
512120,510050,2
512120,159915,3
512120,159901,4
512120,512170,9
512120,512010,10
512120,159928,12
512120,512120,23
510900,510300,0
510900,510500,1
510900,510050,2
510900,159901,4
510900,512800,15
510900,512200,17
510900,510900,24
510900,159920,25
510900,513050,26
159920,510300,0
159920,510050,2
159920,159901,4
159920,512800,15
159920,512200,17
159920,510900,24
159920,159920,25
159920,513050,26
159920,513500,33
513050,510300,0
513050,510050,2
513050,159915,3
513050,159901,4
513050,510900,24
513050,159920,25
513050,513050,26
513050,513100,32
513050,159941,36
518880,515030,7
518880,512170,9
518880,512400,18
518880,159996,22
518880,518880,27
518880,518800,28
518880,161226,30
518880,513520,34
518880,511260,37
518800,515030,7
518800,515220,16
518800,512400,18
518800,159996,22
518800,518880,27
518800,518800,28
518800,161226,30
518800,513520,34
518800,511260,37
159985,510300,0
159985,510050,2
159985,512800,15
159985,515220,16
159985,512200,17
159985,159985,29
159985,159981,31
159985,513520,34
159985,513880,35
161226,515030,7
161226,515220,16
161226,512400,18
161226,159996,22
161226,518880,27
161226,518800,28
161226,161226,30
161226,513520,34
161226,513880,35
159981,510300,0
159981,510050,2
159981,159901,4
159981,512760,5
159981,512480,6
159981,515050,11
159981,512400,18
159981,515880,21
159981,159981,31
513100,510300,0
513100,159901,4
513100,510900,24
513100,159920,25
513100,513050,26
513100,513100,32
513100,513500,33
513100,513520,34
513100,159941,36
513500,510300,0
513500,510900,24
513500,159920,25
513500,513050,26
513500,513100,32
513500,513500,33
513500,513520,34
513500,513880,35
513500,159941,36
513520,512690,8
513520,510900,24
513520,159920,25
513520,513050,26
513520,513100,32
513520,513500,33
513520,513520,34
513520,513880,35
513520,159941,36
513880,512690,8
513880,510900,24
513880,159920,25
513880,513050,26
513880,513100,32
513880,513500,33
513880,513520,34
513880,513880,35
513880,159941,36
159941,159901,4
159941,510900,24
159941,159920,25
159941,513050,26
159941,513100,32
159941,513500,33
159941,513520,34
159941,513880,35
159941,159941,36
511260,159996,22
511260,518880,27
511260,518800,28
511260,159985,29
511260,161226,30
511260,513500,33
511260,513880,35
511260,159941,36
511260,511260,37
