date,width_z_today,stress_today,alert_level,applied_scale
2022-04-12,0.0,0.9833290424707086,red,0.6
2022-04-13,0.0,0.4522180356568149,green,1.0
2022-04-14,0.0,0.7857453572774483,yellow,0.85
2022-04-15,0.0,0.08249898001416828,green,1.0
2022-04-18,0.0,0.8873395403337442,red,0.6
2022-04-19,0.0,0.06109487317805834,green,1.0
2022-04-20,0.0,0.9968438026817777,red,0.6
2022-04-21,0.0,0.9882220328089241,red,0.6
2022-04-22,0.0,0.03524229094418967,green,1.0
2022-04-25,1.0141536505381792,0.9999999999940643,red,0.6
2022-04-26,0.8511741213240624,0.9676418003399686,red,0.6
2022-04-27,1.0485296819713885,0.9999992698223554,red,0.6
2022-04-28,-0.9238606780634566,0.17995429138249694,green,1.0
2022-04-29,1.1621012195019746,0.9999996379756317,red,0.6
2022-05-05,-1.077205813572191,0.04266718958885656,green,1.0
2022-05-06,1.1322929789830813,0.9906748565897198,red,0.6
2022-05-09,-1.0652047818500603,0.03603131936620869,green,1.0
2022-05-10,-0.8513640790805465,0.13836923737263024,green,1.0
2022-05-11,-0.05778558447388294,0.524027636941379,green,1.0
2022-05-12,-0.6008724901249735,0.2990538634407284,green,1.0
2022-05-13,0.7171963272741528,0.8476436742570269,yellow,0.85
2022-05-16,-1.0977328651498197,0.04100100528958656,green,1.0
2022-05-17,-0.9152058013895819,0.13211865021222244,green,1.0
2022-05-18,-1.092560010388251,0.009229766691361706,green,1.0
2022-05-19,0.31961896351273783,0.6975941589062592,yellow,0.85
2022-05-20,0.32465133748953373,0.6922642242919892,yellow,0.85
2022-05-23,-1.1241253234866553,0.017016751782619393,green,1.0
2022-05-24,1.0115647081954209,0.9314573543161091,red,0.6
2022-05-25,-1.1030234855723793,0.021240703774220073,green,1.0
2022-05-26,-1.1710036248667905,0.06274263023426668,green,1.0
2022-05-27,-0.582239999131455,0.41267781719140123,green,1.0
2022-05-30,-1.0408436015674425,0.18574729538032533,green,1.0
2022-05-31,-0.27075445230177275,0.590475124042144,green,1.0
2022-06-01,-1.3749740656319074,0.008994951514326846,green,1.0
2022-06-02,-0.5964007511386434,0.4853628137935335,green,1.0
2022-06-06,0.50685087319976,0.9984647317558552,red,0.6
2022-06-07,-1.3829177484390813,0.029606331679744937,green,1.0
2022-06-08,-0.7190219315500654,0.44388372187542896,green,1.0
2022-06-09,-1.2402903410613169,0.08950656801313739,green,1.0
2022-06-10,0.3175323141457044,0.9104969803299733,red,0.6
2022-06-13,0.6000088041506131,0.9997742708357324,red,0.6
2022-06-14,0.5520170180243891,0.9725005871268255,red,0.6
2022-06-15,-0.07955551710706071,0.7294821787830561,yellow,0.85
2022-06-16,0.037598830859425,0.7708698134783061,yellow,0.85
2022-06-17,-0.08456976394910129,0.7246218887173679,yellow,0.85
2022-06-20,-0.1726889430019004,0.6989456437227264,yellow,0.85
2022-06-21,-1.332667671062565,0.0751762927575355,green,1.0
2022-06-22,-0.4763879176622328,0.587193115515965,green,1.0
2022-06-23,0.5801578463571303,0.9952901275851644,red,0.6
2022-06-24,0.44623564230419865,0.9415172232581009,red,0.6
2022-06-27,-0.6847755123391894,0.4666500470769708,green,1.0
2022-06-28,-0.7850719932441974,0.4150510244595098,green,1.0
2022-06-29,0.6015011759916049,0.9699209921540413,red,0.6
2022-06-30,-0.10619769432636562,0.7021984051799179,yellow,0.85
2022-07-01,-1.4114893589994997,0.02757555005605962,green,1.0
2022-07-04,0.48708864303620536,0.9378256270047076,red,0.6
2022-07-05,-1.3198995725390608,0.09138584520752463,green,1.0
2022-07-06,0.6681632405032584,0.9868182918352697,red,0.6
2022-07-07,-1.249854707515215,0.13258026580986315,green,1.0
2022-07-08,-1.4298532270425015,0.01039744093684798,green,1.0
2022-07-11,0.30929379728914413,0.8813214595575305,red,0.6
2022-07-12,0.471204747190554,0.9462365148258954,red,0.6
2022-07-13,-1.3942297069727085,0.04499740288254361,green,1.0
2022-07-14,-1.2093588567439804,0.17236833910796853,green,1.0
2022-07-15,0.13135126586719245,0.8249047561563114,yellow,0.85
2022-07-18,0.5551358965597909,0.9668662911348797,red,0.6
2022-07-19,-1.3891218477732166,0.022358015759126396,green,1.0
2022-07-20,0.37427079877875336,0.8925531747413564,red,0.6
2022-07-21,-1.4004754043415395,0.04226308443057366,green,1.0
2022-07-22,-1.3266583038709248,0.0879568831104827,green,1.0
2022-07-25,-1.4317671928071138,0.013192051012545804,green,1.0
2022-07-26,-0.9218467918423799,0.32672602392885125,green,1.0
2022-07-27,-1.4454528994763403,0.009777833550574605,green,1.0
2022-07-28,-0.8955786230156155,0.36893727980806196,green,1.0
2022-07-29,0.658268886557875,0.9999982652390611,red,0.6
2022-08-01,-0.12718974572283076,0.7126763216697675,yellow,0.85
2022-08-02,0.7349426243525307,0.9983681320934497,red,0.6
2022-08-03,0.6053167954438353,0.9702456840953317,red,0.6
2022-08-04,-0.783325990875919,0.39951955995555866,green,1.0
2022-08-05,0.9238580711976134,0.9999873994713487,red,0.6
2022-08-08,-1.3588586484164007,0.036254562526397076,green,1.0
2022-08-09,-1.346770995409684,0.04623184903073793,green,1.0
2022-08-10,-0.9096754806215483,0.2829174807464342,green,1.0
2022-08-11,1.0164336428737057,0.9999997412921732,red,0.6
2022-08-12,-1.176913999809137,0.0856651652126312,green,1.0
2022-08-15,-0.9583566675242554,0.21337798695799928,green,1.0
2022-08-16,-1.2958865426204529,0.012288267951718931,green,1.0
2022-08-17,-1.3026121044188177,0.013465889041101806,green,1.0
2022-08-18,-1.2728969874740574,0.018260779476429553,green,1.0
2022-08-19,-1.0918423647163058,0.11790480107632692,green,1.0
2022-08-22,-0.8473334889820614,0.2444419812217976,green,1.0
2022-08-23,-1.0477081372142596,0.12532128020093178,green,1.0
2022-08-24,1.041978036606073,0.9996443838405458,red,0.6
2022-08-25,1.0074568586050932,0.9794458857521988,red,0.6
2022-08-26,-1.1824697590737303,0.020272237020350865,green,1.0
2022-08-29,0.9438606525067107,0.9725040001388484,red,0.6
