code,name,ipo,target,ifind_code,src_proxy
159786,深证红利ETF,2021-08-10,深证红利,399324.SZ,
159766,黄金ETF基金,2021-07-27,黄金 (AU9999/SGE),,v9:沪金指数
513010,港股通科技,2021-05-27,港股通科技 (已删),,
159740,恒生科技,2021-05-31,恒生科技,HSTECH.HK,
515790,光伏ETF,2020-12-22,中证光伏产业,931151.CSI,
588000,科创50ETF,2020-11-18,上证科创板50,000688.SH,
513300,纳斯达克100,2020-11-09,纳斯达克100,NDX.GI,
515100,智能制造ETF,2020-07-07,中证智能制造主题,930850.CSI,
515220,煤炭ETF,2020-03-04,中证煤炭,399998.SZ,
515030,新能车ETF,2020-03-06,中证新能源汽车,399976.SZ,
159996,主要消费ETF,2020-03-18,中证主要消费,931450.CSI,
159981,能源化工ETF,2020-01-21,能源化工期货主题,,v9:南华工业品指数
515080,创新药ETF,2019-12-31,中证创新药,931152.CSI,
159985,豆粕ETF,2019-12-09,豆粕期货指数,,v9:南华农产品指数
515900,中证800ETF,2019-12-20,中证800,000906.SH,
515050,5G通信ETF,2019-10-18,中证5G通信主题,,v9:中证500指数
515880,通信设备ETF,2019-09-10,中证通信设备主题,,v9:中证500指数
513880,日经225ETF,2019-06-27,日经225,,
513520,日经225ETF,2019-06-27,日经225,,
512170,医疗ETF,2019-06-19,中证医疗,399989.SZ,
512760,半导体ETF,2019-06-14,国证半导体芯片,980017.SZ,931865.CSI
512480,半导体ETF,2019-06-14,国证半导体芯片,980017.SZ,931865.CSI
512690,酒ETF,2019-05-08,中证酒,399987.SZ,
512890,红利低波ETF,2019-01-22,中证红利低波动,H30269.CSI,
512260,红利ETF,2019-01-15,中证红利,000922.CSI,
512040,ESG ETF,2018-12-03,沪深300 ESG,,v9:沪深300
