etf,name,ipo,target,ifind_code,pre_ipo_nan_pct,post_ipo_nan_pct,src_proxy
159786,深证红利ETF,2021-08-10,深证红利,399324.SZ,99.89,7.42,
159766,黄金ETF基金,2021-07-27,黄金 (AU9999/SGE),—,99.89,7.36,v9:沪金指数
513010,港股通科技,2021-05-27,港股通科技 (已删),—,99.89,7.19,
159740,恒生科技,2021-05-31,恒生科技,HSTECH.HK,99.89,7.2,
515790,光伏ETF,2020-12-22,中证光伏产业,931151.CSI,99.87,7.33,
588000,科创50ETF,2020-11-18,上证科创板50,000688.SH,99.87,7.21,
513300,纳斯达克100,2020-11-09,纳斯达克100,NDX.GI,99.87,7.17,
515100,智能制造ETF,2020-07-07,中证智能制造主题,930850.CSI,99.85,7.15,
515220,煤炭ETF,2020-03-04,中证煤炭,399998.SZ,99.82,7.13,
515030,新能车ETF,2020-03-06,中证新能源汽车,399976.SZ,99.82,7.13,
159996,主要消费ETF,2020-03-18,中证主要消费,931450.CSI,99.83,7.17,
159981,能源化工ETF,2020-01-21,能源化工期货主题,—,99.81,7.35,v9:南华工业品指数
515080,创新药ETF,2019-12-31,中证创新药,931152.CSI,99.81,7.35,
159985,豆粕ETF,2019-12-09,豆粕期货指数,—,99.8,7.28,v9:南华农产品指数
515900,中证800ETF,2019-12-20,中证800,000906.SH,99.8,7.32,
515050,5G通信ETF,2019-10-18,中证5G通信主题,—,99.79,7.13,v9:中证500指数
515880,通信设备ETF,2019-09-10,中证通信设备主题,—,99.77,7.35,v9:中证500指数
513880,日经225ETF,2019-06-27,日经225,—,99.74,7.14,
513520,日经225ETF,2019-06-27,日经225,—,99.74,7.14,
512170,医疗ETF,2019-06-19,中证医疗,399989.SZ,99.74,7.12,
512760,半导体ETF,2019-06-14,国证半导体芯片,980017.SZ,99.73,7.1,931865.CSI
512480,半导体ETF,2019-06-14,国证半导体芯片,980017.SZ,99.73,7.1,931865.CSI
512690,酒ETF,2019-05-08,中证酒,399987.SZ,99.71,7.05,
512890,红利低波ETF,2019-01-22,中证红利低波动,H30269.CSI,99.64,7.24,
512260,红利ETF,2019-01-15,中证红利,000922.CSI,99.63,7.22,
512040,ESG ETF,2018-12-03,沪深300 ESG,—,99.58,7.21,v9:沪深300
