etf,name,ipo,proxy,R2_daily_full,R2_daily_postIPO,R2_monthly,corr_daily,corr_monthly,n_days_full,n_days_postIPO,n_months
159786,深证红利ETF,2021-08-10,399324.SZ_深证红利,0.0,0.0,0.0,0.017,-0.006,1162,1161,33
159740,恒生科技,2021-05-31,HSTECH.HK_恒生科技,0.001,0.001,0.007,0.028,-0.082,1180,1180,24
515790,光伏ETF,2020-12-22,931151.CSI_光伏产业,0.001,0.001,,0.028,,1180,1180,37
588000,科创50ETF,2020-11-18,000688.SH_科创50,0.002,0.002,,0.049,,1180,1180,41
513300,纳斯达克100,2020-11-09,NDX.GI_纳斯达克100,0.003,0.003,0.071,0.052,0.267,1180,1180,33
515100,智能制造ETF,2020-07-07,930850.CSI_智能制造,0.0,0.0,,0.016,,1180,1180,31
515220,煤炭ETF,2020-03-04,399998.SZ_中证煤炭,0.006,0.006,0.044,0.08,0.21,1180,1180,33
515030,新能车ETF,2020-03-06,399976.SZ_CS新能车,0.001,0.001,,0.023,,1180,1180,46
159996,主要消费ETF,2020-03-18,931450.CSI_新能车主题,0.0,0.0,0.031,-0.02,0.176,1180,1180,35
515080,创新药ETF,2019-12-31,931152.CSI_CS创新药,0.0,0.0,,0.022,,1180,1180,30
515900,中证800ETF,2019-12-20,000906.SH_中证800,0.003,0.003,0.34,0.052,0.583,1180,1180,29
512170,医疗ETF,2019-06-19,399989.SZ_中证医疗,0.0,0.0,0.145,-0.016,0.381,1180,1180,17
512760,半导体ETF,2019-06-14,980017.SZ_国证芯片,0.006,0.006,0.077,0.079,-0.278,1180,1180,26
512480,半导体ETF,2019-06-14,980017.SZ_国证芯片,0.006,0.006,0.039,0.078,0.196,1180,1180,26
512690,酒ETF,2019-05-08,399987.SZ_中证酒,0.002,0.002,,0.044,,1180,1180,31
512890,红利低波ETF,2019-01-22,H30269.CSI_红利低波,0.002,0.002,,0.046,,1180,1180,20
512260,红利ETF,2019-01-15,000922.CSI_中证红利,0.006,0.006,,0.077,,1180,1180,37
