code,name,rows,start,end,close_nan_pct
000688.SH,科创50,1201,2021-07-14,2026-06-30,0.0
000906.SH,中证800,1201,2021-07-14,2026-06-30,0.0
399005.SZ,中小100,1201,2021-07-14,2026-06-30,0.0
399324.SZ,深证红利,1201,2021-07-14,2026-06-30,0.0
399998.SZ,中证煤炭,1201,2021-07-14,2026-06-30,0.0
931450.CSI,新能车主题,1201,2021-07-14,2026-06-30,0.0
931865.CSI,中证半导,1201,2021-07-14,2026-06-30,0.0
399989.SZ,中证医疗,1201,2021-07-14,2026-06-30,0.0
399987.SZ,中证酒,1201,2021-07-14,2026-06-30,0.0
931151.CSI,光伏产业,1201,2021-07-14,2026-06-30,0.0
H30269.CSI,红利低波,1201,2021-07-14,2026-06-30,0.0
980017.SZ,国证芯片,1201,2021-07-14,2026-06-30,0.0
HSTECH.HK,恒生科技,1201,2021-07-14,2026-06-30,0.0
NDX.GI,纳斯达克100,1201,2021-07-14,2026-06-30,0.0
931152.CSI,CS创新药,1201,2021-07-14,2026-06-30,0.0
930850.CSI,智能制造,1201,2021-07-14,2026-06-30,0.0
000922.CSI,中证红利,1201,2021-07-14,2026-06-30,0.0
399810.SZ,CSSW传媒,1201,2021-07-14,2026-06-30,0.0
399976.SZ,CS新能车,1201,2021-07-14,2026-06-30,0.0
