date,width_z,stress,fired,alert_level
2020-11-20,,0.0,0,green
2020-11-23,,0.47229893368729814,0,green
2020-11-24,,0.06989705499213059,0,green
2020-11-25,,0.16085058339223085,0,green
2020-11-26,,2.5927929716170207e-06,0,green
2020-11-27,,0.7461519157192713,1,green
2020-11-30,,0.5779264390342169,0,green
2020-12-01,,0.9919275230416154,1,red
2020-12-02,,0.00017011840208049333,0,green
2020-12-03,-0.9560383046683393,0.004460893817842804,0,green
2020-12-04,-0.8789826508581142,0.015233903140133752,0,green
2020-12-07,-0.998140379397432,0.0014907092855121781,0,green
2020-12-08,-1.0098947637630709,0.0004597379623544546,0,green
2020-12-09,1.260217237459518,0.9884982186412061,1,red
2020-12-10,-1.0728783026718078,0.002622795322687083,0,green
2020-12-11,-0.9615422448333374,0.031058718934494453,0,green
2020-12-14,-0.6192760477866918,0.18345099743510354,0,green
2020-12-15,-0.9762273467449765,0.0004653780809392539,0,green
2020-12-16,-0.9438461106591495,0.0009616042689990476,0,green
2020-12-17,0.7243162693416562,0.7256858130279923,1,green
2020-12-18,-0.8323011170083686,0.031330414561428745,0,green
2020-12-21,1.3974311949468725,0.9258406639189021,1,yellow
2020-12-22,1.7187028269783908,0.9999577283855229,1,red
2020-12-23,-0.7474359032081078,0.0032719668481985364,0,green
2020-12-24,-0.7275837031410269,0.0014334628783732157,0,green
2020-12-25,-0.651845447468939,0.03492777810173729,0,green
2020-12-28,-0.5141109962344012,0.10386252410976167,0,green
2020-12-29,1.8203764373678761,0.9931865377203507,1,red
2020-12-30,0.5822124402404307,0.5385152368949142,0,green
2020-12-31,1.6768332095947136,0.9255780499689509,1,yellow
2021-01-04,1.9463335829986765,0.9993186005301922,1,red
2021-01-05,1.7687622650902577,0.9568234937791186,1,yellow
2021-01-06,-0.5007700306736523,0.0011315446908689737,0,green
2021-01-07,-0.359653508363592,0.09022685424306295,0,green
2021-01-08,0.1761929253163356,0.33454267015583916,0,green
2021-01-11,0.7324695843175968,0.518201733729627,0,green
2021-01-12,0.5361151650290631,0.40628965309939863,0,green
2021-01-13,-0.3362874847958292,0.0013353862109751953,0,green
2021-01-14,-0.20746090922304916,0.0306286973057552,0,green
2021-01-15,-0.2640793138947238,0.006470326260133975,0,green
2021-01-18,1.7266511979174846,0.777599787690106,1,green
2021-01-19,-0.26012229023534755,0.008811025212877532,0,green
2021-01-20,0.4177712962783324,0.33011077964528496,0,green
2021-01-21,-0.29120359831780956,0.01138668886788327,0,green
2021-01-22,0.0929027242138452,0.1576361491058387,0,green
2021-01-25,0.02758101214799475,0.12337248578430715,0,green
2021-01-26,2.597735395103222,0.9938273648054639,1,red
2021-01-27,-0.2742864409942939,0.00021791791592869715,0,green
2021-01-28,2.555768735863361,0.9987374911683574,1,red
2021-01-29,-0.16868506122034388,0.0017492824708435907,0,green
2021-02-01,-0.21663011111186753,0.0036903492409361026,0,green
2021-02-02,-0.025435340840217455,0.09130006187050921,0,green
2021-02-03,-0.20243481203426983,0.0029555651273773737,0,green
2021-02-04,-0.22692014899075355,0.0009281816288877402,0,green
2021-02-05,-0.027333072581338574,0.08375217833823342,0,green
2021-02-08,-0.2554058288535666,0.0019192597881144261,0,green
2021-02-09,0.542662218645012,0.33811868299055203,0,green
2021-02-10,-0.12392070404120997,0.0678516644558904,0,green
2021-02-18,2.6282823997433673,0.9998271524674489,1,red
2021-02-19,-0.1852725518825311,6.801425301911582e-05,0,green
2021-02-22,-0.8332411910923345,0.0,0,green
2021-02-23,-0.8212808149772374,0.00037467150285324844,0,green
2021-02-24,-0.5404123347378837,0.12247056105213612,0,green
2021-02-25,-0.7507925369234316,0.0013416115327396488,0,green
2021-02-26,-0.2626904332949957,0.1918030580378535,0,green
2021-03-01,-0.5991230584987125,0.00028174200661430527,0,green
2021-03-02,-0.6196215290889414,0.00027355617970605483,0,green
2021-03-03,-0.5643449880141427,0.0005749078632929121,0,green
2021-03-04,1.3784536916111803,0.7959410941080785,1,green
2021-03-05,-0.5645886100064303,7.777959158990642e-05,0,green
2021-03-08,1.9710609405502055,0.9651040019820977,1,yellow
2021-03-09,-0.45064209341088984,0.008812511241181467,0,green
2021-03-10,-0.4750802086798686,0.0009197010897793404,0,green
2021-03-11,-0.39151708101727056,0.0008795827271749278,0,green
2021-03-12,-0.46106944914256587,3.642167973773656e-05,0,green
2021-03-15,-0.36293368790203295,0.042902585315586,0,green
2021-03-16,-0.5318601211964737,6.818152566748952e-05,0,green
2021-03-17,-0.5893870110496724,9.539015677644189e-05,0,green
2021-03-18,-0.6777565971539202,0.00010793686538023079,0,green
2021-03-19,-0.6098089938669995,0.01269921519266115,0,green
2021-03-22,-0.7257598664471169,0.0001359004771480605,0,green
2021-03-23,-0.7251621642755541,0.00039089863768944523,0,green
2021-03-24,-0.7388520245713726,0.0001844296666967438,0,green
2021-03-25,-0.8063536800802544,0.00013387076978519323,0,green
2021-03-26,-0.8440222597479118,0.0047749737559194105,0,green
2021-03-29,-0.9119844013680971,0.0009256652698882853,0,green
2021-03-30,-0.9489391715065946,0.0001271204660251621,0,green
2021-03-31,-0.9838252344248274,0.0005824479622258533,0,green
2021-04-01,-0.9465495990927729,0.028309873964295258,0,green
2021-04-02,-0.8630267509188299,0.049432182381647365,0,green
2021-04-06,-1.1221566487501256,0.00010147533345993821,0,green
2021-04-07,-1.1982780203028538,0.0004258879212876373,0,green
2021-04-08,-1.2335939578152924,0.00014128746893018223,0,green
2021-04-09,-1.2876768043662699,0.00029257806178916595,0,green
2021-04-12,-0.8656747513540415,0.1933778790473857,0,green
2021-04-13,-1.298536581979007,0.00033309208125755467,0,green
2021-04-14,-1.252191806858814,0.0009324173485834146,0,green
2021-04-15,-1.2530634255196234,0.00011774339485672784,0,green
2021-04-16,-1.2409881121355373,0.0008984847363281148,0,green
2021-04-19,0.0020193692402652296,0.661456202909367,1,green
2021-04-20,-1.2499686889891661,0.000612005696960971,0,green
2021-04-21,-1.2283142804566205,0.009241112584337172,0,green
2021-04-22,-1.2642844502208324,0.00040278188481779656,0,green
2021-04-23,-1.2323137562390551,0.0020874391585951066,0,green
2021-04-26,-1.246930066725235,0.00035377157377438766,0,green
2021-04-27,-1.236339125457067,0.00041765134013439244,0,green
2021-04-28,-1.2287598927508079,0.015471875786641116,0,green
2021-04-29,-1.238648434558695,0.0017401202112340133,0,green
