event,date,in_test_window,lead_days,n_warnings_20d_before,n_warnings_30d_before,realized_dd_10d,warned_30d
2018-10 贸易战暴跌,2018-10-19,False,,0,0,,False
2018-12 美股闪崩,2018-12-24,False,,0,0,,False
2019-04 原油闪崩,2019-04-30,False,,0,0,,False
2019-08 中美互加关税,2019-08-05,False,,0,0,,False
2020-01 新冠爆发,2020-01-20,False,,0,0,,False
2020-03 全球流动性危机,2020-03-16,False,,0,0,,False
2021-07 教培+科技暴跌,2021-07-26,True,13.0,2,4,-0.01846624249440243,True
2022-01 美联储加息预期,2022-01-27,True,2.0,6,8,-0.024560100679442254,True
2022-03 俄乌开战,2022-03-07,True,11.0,4,5,-0.036987236037130056,True
2022-04 上海封控,2022-04-25,True,14.0,1,1,0.0037631569162148715,True
2022-10 A 股底部,2022-10-31,True,3.0,4,5,0.042817489930149666,True
2023-03 硅谷银行,2023-03-13,True,3.0,3,6,0.025116814703710855,True
2023-08 印花税减半,2023-08-28,True,3.0,4,4,0.0201617191821446,True
2024-01 雪球敲入+量化危机,2024-01-22,True,5.0,2,3,-0.031197511882269047,True
2024-08 日元套利平仓,2024-08-05,True,3.0,4,8,-0.011406770474842398,True
2024-09 政策预期,2024-09-24,True,,0,2,0.2032289446203117,True
