date,width_z,stress,trigger,cross_dispersion,anomaly_frac,max_hw,top_assets,fwd_5d_ret,fwd_10d_ret,classification
2020-11-27,0.0,0.746,stress,0.0086,0.158,0.1605,"515220:0.1605, 515030:0.1406, 515880:0.1062",0.0158,-0.0043,neutral
2020-12-01,0.0,0.992,stress,0.0116,0.342,0.1786,"515220:0.1786, 515030:0.1531, 515880:0.1151",0.0028,-0.0078,neutral
2020-12-09,1.26,0.988,stress,0.0142,0.263,0.1898,"515220:0.1898, 515030:0.1299, 512690:0.1121",-0.0002,0.0161,FP
2020-12-17,0.72,0.726,stress,0.0132,0.184,0.1877,"515220:0.1877, 515030:0.1080, 512690:0.0854",-0.0005,0.0334,FP
2020-12-21,1.4,0.926,stress,0.0145,0.211,0.2154,"515220:0.2154, 515030:0.1383, 512690:0.0913",-0.0071,0.0407,FP
2020-12-22,1.72,1.0,stress,0.0172,0.395,0.2448,"515220:0.2448, 515030:0.1513, 512690:0.0953",0.0094,0.0597,FP
2020-12-29,1.82,0.993,stress,0.0215,0.237,0.2589,"515220:0.2589, 515030:0.1698, 515880:0.1102",0.0503,0.0594,FP
2020-12-31,1.68,0.926,stress,0.013,0.289,0.2438,"515220:0.2438, 515030:0.1731, 515880:0.1050",0.0294,0.0222,FP
2021-01-04,1.95,0.999,stress,0.0237,0.316,0.2538,"515220:0.2538, 515030:0.2024, 515880:0.1113",0.0044,0.0175,FP
2021-01-05,1.77,0.957,stress,0.0191,0.263,0.2515,"515220:0.2515, 515030:0.1969, 515880:0.1100",0.0138,0.0034,neutral
2021-01-18,1.73,0.778,stress,0.0169,0.237,0.209,"515220:0.2090, 515030:0.1873, 515880:0.1100",0.0195,-0.0164,TP
2021-01-26,2.6,0.994,both,0.0164,0.342,0.2116,"515220:0.2116, 515030:0.2076, 512690:0.1268",-0.0073,0.0069,neutral
2021-01-28,2.56,0.999,both,0.0125,0.447,0.2029,"515220:0.2029, 515030:0.1987, 515050:0.1309",0.0018,0.0408,FP
