threshold,n_fired,TP,FP,TPR,FPR,precision
-0.5,714,262,263,0.605080831408776,0.5116731517509727,0.36694677871148457
-0.25,592,212,220,0.4896073903002309,0.4280155642023346,0.3581081081081081
0.0,463,157,178,0.3625866050808314,0.3463035019455253,0.3390928725701944
0.25,394,142,143,0.3279445727482679,0.2782101167315175,0.3604060913705584
0.5,349,128,121,0.2956120092378753,0.23540856031128404,0.3667621776504298
0.75,285,95,109,0.21939953810623555,0.21206225680933852,0.3333333333333333
1.0,240,78,91,0.18013856812933027,0.17704280155642024,0.325
1.25,201,65,72,0.15011547344110854,0.14007782101167315,0.32338308457711445
1.5,155,50,51,0.11547344110854503,0.09922178988326848,0.3225806451612903
1.75,121,40,42,0.09237875288683603,0.08171206225680934,0.3305785123966942
2.0,88,26,31,0.06004618937644342,0.06031128404669261,0.29545454545454547
2.25,51,17,21,0.03926096997690531,0.04085603112840467,0.3333333333333333
2.5,31,10,16,0.023094688221709007,0.0311284046692607,0.3225806451612903
2.75,16,3,11,0.006928406466512702,0.021400778210116732,0.1875
3.0,14,3,9,0.006928406466512702,0.017509727626459144,0.21428571428571427
3.25,12,2,8,0.004618937644341801,0.01556420233463035,0.16666666666666666
3.5,7,1,4,0.0023094688221709007,0.007782101167315175,0.14285714285714285
3.75,6,0,4,0.0,0.007782101167315175,0.0
4.0,2,0,1,0.0,0.0019455252918287938,0.0
4.25,1,0,1,0.0,0.0019455252918287938,0.0
4.5,1,0,1,0.0,0.0019455252918287938,0.0
4.75,0,0,0,0.0,0.0,0.0
5.0,0,0,0,0.0,0.0,0.0
5.25,0,0,0,0.0,0.0,0.0
5.5,0,0,0,0.0,0.0,0.0
5.75,0,0,0,0.0,0.0,0.0
