yellow_scale,red_scale,cagr,vol,sharpe,max_dd,calmar,base_cagr,diff_final
0.4,0.8,0.08313653002707366,0.15711747395410766,0.4596726342848744,-0.23049821136048143,0.36068188788265493,0.20876213839916424,90.39717973105053
0.55,0.8,0.08253608435698156,0.15716688701753256,0.4560482465183133,-0.23291707520284688,0.3543582379484248,0.20876213839916424,90.13229441957563
0.7,0.8,0.08193336298912102,0.1572314718872983,0.4523824808845531,-0.2353331081101916,0.3481590994445066,0.20876213839916424,89.86703008428641
0.85,0.8,0.08132836292458556,0.15731120987683309,0.44867650227333644,-0.2377463100825159,0.3420804423688363,0.20876213839916424,89.60139136861487
0.95,0.8,0.08092376210955576,0.15737277574198352,0.44618409894473954,-0.23935353865572107,0.3380930257561559,0.20876213839916424,89.42409319563455
0.4,0.6,0.07940710380322802,0.1566471246387142,0.4385625863237973,-0.23879025812767152,0.33253912628534554,0.20876213839916424,88.76198178304497
0.55,0.6,0.07880872557132634,0.1566966371905602,0.43493370013600163,-0.24118305662178097,0.3267589633997914,0.20876213839916424,88.50183556657322
0.7,0.6,0.07820807947727726,0.15676136698844398,0.43126523837700714,-0.24357305468664092,0.3210867457317588,0.20876213839916424,88.24131710744805
0.85,0.6,0.07760516253249916,0.156841295191488,0.42755836918537415,-0.24596025232225294,0.31551912067004306,0.20876213839916424,87.98043096602474
0.95,0.6,0.0772019548279852,0.15690301293036985,0.4250663761921357,-0.24755016161863286,0.31186388376073787,0.20876213839916424,87.8063048560065
0.4,0.4,0.07566802786016358,0.1563122923810091,0.41696358044538606,-0.24706106588830223,0.30627257106699907,0.20876213839916424,87.14639231482691
0.55,0.4,0.0750717224158548,0.15636186202156327,0.4133336118772797,-0.24942786579717646,0.30097568359462995,0.20876213839916424,86.89092836449058
0.7,0.4,0.074473156965293,0.15642668143349775,0.409666002579562,-0.25179189570443816,0.2957726528764536,0.20876213839916424,86.63509887134504
0.85,0.4,0.07387232853024983,0.15650673166910725,0.40596192056706876,-0.2541531556100848,0.2906606780188197,0.20876213839916424,86.37890831366592
0.95,0.4,0.07347051754086009,0.15656854870787748,0.4034728597687556,-0.25572578999073214,0.28730194769765993,0.20876213839916424,86.20791622880914
0.4,0.2,0.0719193105423912,0.15611384915249288,0.3949265129941101,-0.25530995531479883,0.2816941096312293,0.20876213839916424,85.55033224718817
0.55,0.2,0.07132508323045061,0.15616343278387126,0.39129889166096576,-0.25765082553687135,0.27682846768229574,0.20876213839916424,85.29949396330463
0.7,0.2,0.07072860378840806,0.15622828554548124,0.3876356835464884,-0.25998895610432937,0.27204464700425895,0.20876213839916424,85.04829675546766
0.85,0.2,0.07012986924841513,0.15630838843171677,0.38393805316055224,-0.26232434701717244,0.26734029854965863,0.20876213839916424,84.79674502086533
0.95,0.2,0.06972945857564294,0.15637025125747625,0.3814544300748495,-0.26387975226205884,0.2642470973157298,0.20876213839916424,84.62884907677346
