label,model,F1,P,R,AUC,best_th
y_A,lgb,0.40486533449174633,0.33477011494252873,0.512087912087912,0.48607508098837576,0.3
y_A,xgb,0.4077328646748682,0.3396778916544656,0.5098901098901099,0.4731804611573398,0.3
y_B,lgb,0.4241348713398403,0.37285491419656785,0.49176954732510286,0.5107037826528901,0.3
y_B,xgb,0.43137254901960786,0.39487179487179486,0.47530864197530864,0.5316820617580011,0.3
y_C,lgb,0.14953271028037382,0.27586206896551724,0.10256410256410256,0.46036686072917954,0.44999999999999996
y_C,xgb,0.10869565217391304,0.35714285714285715,0.0641025641025641,0.4198305049754325,0.5499999999999999
y_D,lgb,0.27696793002915454,0.23058252427184467,0.3467153284671533,0.5294360860281084,0.3
y_D,xgb,0.27286821705426356,0.2371967654986523,0.32116788321167883,0.5149596656013176,0.3
y_E,lgb,0.4739413680781759,0.4024896265560166,0.5762376237623762,0.5064131689242544,0.3
y_E,xgb,0.46166807076663857,0.40175953079178883,0.5425742574257426,0.5168268237866731,0.3
