label,model,F1,P,R,AUC
y_A,lgb,0.44878048780487806,0.3561290322580645,0.6065934065934065,0.48102648796290415
y_A,xgb,0.4075342465753425,0.3338008415147265,0.5230769230769231,0.47889728768341483
y_B,lgb,0.4598290598290598,0.3932748538011696,0.5534979423868313,0.5145180152174558
y_B,xgb,0.43884892086330934,0.38977635782747605,0.5020576131687243,0.5211374110588074
y_C,lgb,0.11009174311926606,0.1935483870967742,0.07692307692307693,0.53070419918246
y_C,xgb,0.0963855421686747,0.8,0.05128205128205128,0.4226691853503448
y_D,lgb,0.2749326145552561,0.21794871794871795,0.3722627737226277,0.5203800365661331
y_D,xgb,0.2832512315270936,0.2137546468401487,0.4197080291970803,0.5031192865417091
y_E,lgb,0.45695364238410596,0.39260312944523473,0.5465346534653466,0.5060851606633056
y_E,xgb,0.46153846153846156,0.39330543933054396,0.5584158415841585,0.5008904816862054
