config,w_v1.0,w_v9macro,w_v710,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
Equal 1/3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.4080468366153067,2.0874079174691738,1.6948241639858814,-0.09271402562411801,136,0.1571339709681614,0.11159711941534801,0.07527707912436904,0.5258701787394168,1.1454811561947114
v1 重 0.50,0.5,0.25,0.25,1.4581688250649656,2.1355125865063567,1.877565006980366,-0.06774424513613175,136,0.12719422409190084,0.0872287364161924,0.05956144903832541,0.5305738476011289,1.134164337984593
v1 重 0.40,0.4,0.3,0.3,1.425642057891916,2.10519611624861,1.7531994901303476,-0.08279131830008801,136,0.1451496970309336,0.1018135626873727,0.06894830173332524,0.5296331138287864,1.1318239892874207
v1 重 0.30,0.3,0.35,0.35,1.4002234319446005,2.079264383325926,1.6706729439258137,-0.09764296102822456,136,0.16312945315465743,0.11650244484775313,0.07845536838067735,0.5258701787394168,1.1438990314184094
v1 重 0.20,0.2,0.4,0.4,1.3798966881145922,2.05720622438695,1.6128630858672324,-0.11230083156473147,138,0.1811258657429491,0.1312604539912539,0.08804458376404378,0.5268109125117592,1.1355465315341742
v1 重 0.10,0.1,0.45,0.45,1.3632899055993,2.0383703933541795,1.5708490236524764,-0.12676658992572254,138,0.1991311740165751,0.1460666386501537,0.09769135907086088,0.5258701787394168,1.1365625037141063
v710 重 0.60,0.2,0.2,0.6,1.3386112864615622,1.9836167529250814,1.919226033803077,-0.10248535330773156,136,0.19669255815170472,0.14693777061422728,0.09915854857631036,0.5211665098777046,1.1575014639270471
v710 重 0.70,0.15,0.15,0.7,1.311429154658276,1.9456856263664335,1.861127250842381,-0.11353470876795757,136,0.21130254040449925,0.16112386982853005,0.1086005557840845,0.5202257761053621,1.1574281059355351
v710 重 0.80,0.1,0.1,0.8,1.285520492065474,1.9094514343387363,1.7969355005118557,-0.12564510356342784,136,0.22577614705861215,0.17563014238369135,0.11824136660317883,0.5192850423330198,1.157554825526847
v710 重 0.90,0.05,0.05,0.9,1.2611623529998146,1.8752581360969665,1.7446855451454673,-0.13762044220697245,136,0.240104396235032,0.19038341547693446,0.12803805066259774,0.5202257761053621,1.14923778181681
Vol-parity 倒数 vol,0.6561389211723637,0.19717058941718588,0.1466904894104503,1.5354801933881836,2.1984057043781897,2.0610851260417444,-0.04716689527322648,136,0.09721498628921577,0.06331243262389573,0.04422067596331708,0.5465663217309501,1.078000520426654
