策略,Sharpe,Calmar,AnnRet,MaxDD
v1 locked,1.4419983065008206,1.7180974063271097,0.03333446048648993,-0.019401961939836232
v8 method_b (有未来),1.0446005994506626,0.9383179156533518,0.1094063059158205,-0.11659833420066457
v3 (52 池),1.0097511489270576,0.6148636882822853,0.07300673798706953,-0.11873646041942221
v7.10 TV-PR (5bp),0.9222966134803923,0.8707197777813603,0.17887925145111067,-0.20543836951413275
v7.14 TV-PR (修正),0.9222797834346887,0.6062190424574793,0.1716235229971185,-0.2831048036719439
v8 per-asset 0bp ⭐,0.9188541105442233,0.7994331174309564,0.14130956151064578,-0.1767622061552261
v8 probabilistic 0bp,0.9041100990729938,0.5899148765855192,0.15505739828975684,-0.2628470724238099
v8 per-asset 5bp ⭐,0.8713335062521418,0.7387740740036646,0.1339789753774125,-0.1813531092818884
v9 银河方案,0.8430073431050961,0.5977050941293838,0.0869273050311758,-0.1454351081912627
v8 per-asset 10bp ⭐,0.8236275315363184,0.6811917007810586,0.12664838924417823,-0.1859218030680092
v5.1 逆波动,0.7686790786616042,0.7345835184856513,0.1333022422311625,-0.18146642128040924
v0 baseline,0.7651569590316786,0.5027242889775672,0.08179929130435512,-0.16271203341043505
v8 periodic 0bp,0.7508621547509328,0.599528924932492,0.10102159017452253,-0.1685016118044642
v8 per-asset 20bp ⭐,0.7277776145950564,0.5743142504570914,0.11198721697771082,-0.19499292745841013
v5 量价,0.642691225069653,0.6054601616218785,0.11749351649048383,-0.19405656051051756
v8 optimized,0.6130062183400135,0.45184283997156677,0.09312937243041193,-0.20611009889250942
v4 style,0.3235670324459551,0.13784832555580045,0.061984735499829566,-0.4496589657502832
v4 factor,0.09404475592335734,0.04661241813364706,0.01890534262008408,-0.4055859656514431
