Strategy,Period,Start,End,AnnRet,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,Vol,DownsideVol,WinRate,PayoffRatio,N_Days
v0.0 baseline,Full Sample,2018-01-03,2026-05-29,0.10109258865584914,0.9819410710324542,1.0397577234924176,0.6212975557919975,-0.16271203341043505,661,0.10295178767658239,0.09722706200853372,0.4997521070897372,0.9959704662748514,2018
v0.0 baseline,OOS 22-26,2022-01-01,2026-05-29,0.10037175661536946,0.9551096640741294,1.0209163499856773,0.6168674468112966,-0.16271203341043505,544,0.1050892482725201,0.09831535817481775,0.5333960489181562,1.0174516494997758,1064
v0.0 baseline,2018 贸易战大跌,2018-01-22,2018-12-28,-0.019066507482095596,-0.4887283670325947,-0.35359278118459203,-0.6395969664483357,-0.02981019060795642,62,0.03901248376037889,0.0539222192778364,0.16143497757847533,0.983357381209595,224
v0.0 baseline,2019 春燥行情,2019-01-02,2019-04-26,0.14722574824972923,2.797080284089395,4.425352408215503,9.624880864788151,-0.015296370969987039,43,0.05263551035241714,0.033268706007776934,0.5657894736842105,1.147675334809171,77
v0.0 baseline,2020 疫情牛,2020-03-23,2021-02-10,0.4033169453514016,2.647710096034487,3.1357281649829054,4.061431079133506,-0.09930414612315619,84,0.15232670146004848,0.12861986885703158,0.593607305936073,0.9401870955431973,220
v0.0 baseline,2021 白马崩盘,2021-09-13,2022-04-29,-0.07659404728809593,-1.2063255809469835,-1.558866582940401,-1.1828588078701794,-0.06475333047230625,106,0.06349367741001435,0.04913444686434997,0.4966442953020134,0.7789302751286228,150
v0.0 baseline,2022 慢熊,2022-01-01,2022-12-31,-0.09401376459078825,-1.7403502452558257,-2.206151051311208,-0.869372143210823,-0.10813984014207123,241,0.054020025478818796,0.042614382426312984,0.44813278008298757,0.8745725399389915,242
v0.0 baseline,2023 慢熊延续,2023-01-01,2023-12-31,0.0505318469538969,1.7961950953938512,2.81394973704079,3.762003445811042,-0.01343216392057367,70,0.028132716253084295,0.01795762244390238,0.5228215767634855,1.1205193886605767,242
v0.1 +VT,Full Sample,2018-01-03,2026-05-29,0.04798875777951528,0.983715699372975,1.0714784445748111,0.710935651207698,-0.0675008458191605,573,0.048783157379823805,0.04478742248385444,0.4997521070897372,1.0486411393697257,2018
v0.1 +VT,OOS 22-26,2022-01-01,2026-05-29,0.03115902185586461,0.9646851676671534,1.0639238919889575,0.611278984304396,-0.05097348781149735,543,0.03229967962627103,0.029286889871054808,0.5333960489181562,1.0639335481382024,1064
v0.1 +VT,2018 贸易战大跌,2018-01-22,2018-12-28,-0.03142758666394696,-0.5833773201768413,-0.4000580168157387,-0.7286416237064438,-0.04313174768150296,62,0.05387180059454523,0.07855757250934452,0.16143497757847533,0.9923160927714906,224
v0.1 +VT,2019 春燥行情,2019-01-02,2019-04-26,0.20851904054435266,2.7123097258893876,4.206548031608488,9.095055512145594,-0.0229266374752628,43,0.07687877182830867,0.04957010807377367,0.5657894736842105,1.1633842092102897,77
v0.1 +VT,2020 疫情牛,2020-03-23,2021-02-10,0.19996000336261832,2.874707101320785,3.7632028824524784,4.998028391406444,-0.04000777660775745,82,0.06955839197348024,0.053135589445633194,0.593607305936073,1.0729951465838221,220
v0.1 +VT,2021 白马崩盘,2021-09-13,2022-04-29,-0.02560640281885551,-1.16613313203152,-1.5036070987090542,-1.1546593641193195,-0.022176586112377827,106,0.021958387181956324,0.017029982660257653,0.4966442953020134,0.8304624470558791,150
v0.1 +VT,2022 慢熊,2022-01-01,2022-12-31,-0.03310767519672431,-1.6904260055041254,-2.1882185945519343,-0.8409793128341057,-0.03936800191333034,241,0.019585403376973492,0.015129967033071267,0.44813278008298757,0.9184164212814248,242
v0.1 +VT,2023 慢熊延续,2023-01-01,2023-12-31,0.01850274674568575,1.7976405192146485,2.7961991528758516,3.7041995799188783,-0.004995072848124171,70,0.010292795777527985,0.0066171061981246705,0.5228215767634855,1.2444812127871294,242
v0.2 +TF,Full Sample,2018-01-03,2026-05-29,0.08841189163020147,0.9095064684358968,0.9139805006610104,0.5433641862687919,-0.16271203341043494,459,0.09720864523618597,0.09673279852935601,0.5141298958849777,0.968774534100049,2018
v0.2 +TF,OOS 22-26,2022-01-01,2026-05-29,0.1001729933451121,1.0203113476673555,1.0116927460607272,0.6156458821483074,-0.16271203341043494,278,0.09817884861726614,0.09901523336522883,0.5682031984948259,0.9567988228657689,1064
v0.2 +TF,2018 贸易战大跌,2018-01-22,2018-12-28,-0.013877650286735155,-0.3597501770855055,-0.2535527060316049,-0.46553376559193055,-0.02981019060795642,62,0.038575798347520236,0.05473280291082885,0.17488789237668162,0.8984327002692111,224
v0.2 +TF,2019 春燥行情,2019-01-02,2019-04-26,0.0954362519146299,2.964646393789891,4.732419438476608,13.031140326808083,-0.0073237068684077755,15,0.032191445197154805,0.020166482103993588,0.5526315789473685,1.2471921645637973,77
v0.2 +TF,2020 疫情牛,2020-03-23,2021-02-10,0.286976128938349,1.971634766586598,2.3138893948501726,2.889870565751027,-0.09930414612315652,84,0.1455523780579188,0.12402326990090687,0.5525114155251142,1.0715718821120794,220
v0.2 +TF,2021 白马崩盘,2021-09-13,2022-04-29,0.0004120845383497329,0.011343965367965267,0.012843830313138013,0.019130981075171423,-0.02154016758108368,36,0.036326321967928156,0.0320842403163961,0.5436241610738255,0.843874398407477,150
v0.2 +TF,2022 慢熊,2022-01-01,2022-12-31,-0.021604577722603935,-0.6079334963521456,-0.7408882128824481,-0.5026700738505562,-0.042979637831049744,176,0.035537732091158666,0.02916037446263407,0.4979253112033195,0.9074125122213397,242
v0.2 +TF,2023 慢熊延续,2023-01-01,2023-12-31,0.046076411967775455,2.5669824932993297,3.556015020647048,3.984209231515163,-0.011564757092401234,85,0.01794964012728956,0.012957316462457307,0.5975103734439834,1.0242481573523365,242
v1.0 locked,Full Sample,2018-01-03,2026-05-29,0.052751357038096414,1.1895082525623484,1.3528134911126402,0.9080010486799883,-0.05809614109453287,336,0.04434719719217033,0.03899381354831872,0.51232741617357,1.1077044808435097,2029
v1.0 locked,OOS 22-26,2022-01-01,2026-05-29,0.038038156561448266,1.5958457381865871,1.8569491048314675,1.960531449314313,-0.019401961939836232,302,0.023835735278945128,0.020484221383601422,0.5343367826904986,1.1671275835287074,1064
v1.0 locked,2018 贸易战大跌,2018-01-22,2018-12-28,-0.03564070208276049,-0.5317713431141856,-0.5500420347279279,-0.7084407295521441,-0.05030865758564096,106,0.06702260763816201,0.06479632433981115,0.3157894736842105,0.8818628236659269,229
v1.0 locked,2019 春燥行情,2019-01-02,2019-04-26,0.3052169721080562,3.5264502083866307,6.35597562058604,16.782976093316908,-0.018186105396979957,43,0.0865507675061417,0.04802047558513358,0.5131578947368421,1.7456549025776282,77
v1.0 locked,2020 疫情牛,2020-03-23,2021-02-10,0.1351292635788377,2.5069532568875403,3.0925332755335155,3.5066554272944015,-0.038535084607128955,50,0.05390178823940453,0.04369533050716344,0.5981735159817352,1.0365976761255262,220
v1.0 locked,2021 白马崩盘,2021-09-13,2022-04-29,-0.006739454764301933,-0.37152986809065036,-0.4522861886653794,-0.5005620620777568,-0.013463774574380416,106,0.01813973880198929,0.014900863508985169,0.48322147651006714,1.0014625272514583,150
v1.0 locked,2022 慢熊,2022-01-01,2022-12-31,-0.0074552144498354345,-0.4292542727346502,-0.5577123369463652,-0.578067260804805,-0.012896794119521715,241,0.01736782816939829,0.013367490650565252,0.44813278008298757,1.143256918478897,242
v1.0 locked,2023 慢熊延续,2023-01-01,2023-12-31,0.024696391888868297,2.409736263709984,3.813354860391062,5.147829187707523,-0.004797438102227769,50,0.010248587059417946,0.006476289984283201,0.5228215767634855,1.3695859244997046,242
v3 (52 池),Full Sample,2018-01-03,2026-05-29,0.06651004392522197,0.8735547903619351,1.0899293350217276,0.4906625921852682,-0.1355514868761558,715,0.07613723221375186,0.061022345016428156,0.49926289926289924,1.0977525251912383,2036
v3 (52 池),OOS 22-26,2022-01-01,2026-05-29,0.08833454318265899,1.2159698484592905,1.47438737437864,0.8932364926567091,-0.09889267165958471,511,0.07264534009176654,0.059912709995828844,0.5258701787394168,1.1287365910613207,1064
v3 (52 池),2018 贸易战大跌,2018-01-22,2018-12-28,-0.10721303987642461,-1.5151494956683131,-1.823859190824286,-0.834064988528942,-0.12854278905234773,152,0.0707607006324708,0.058783616858037215,0.32456140350877194,0.9143136543034764,229
v3 (52 池),2019 春燥行情,2019-01-02,2019-04-26,0.20370335793783734,3.9761146538828966,6.521710256004361,18.976408868995357,-0.010734557805120781,14,0.051231761573804144,0.031234653172500754,0.5921052631578947,1.3243635240630192,77
v3 (52 池),2020 疫情牛,2020-03-23,2021-02-10,0.24582401786986452,2.3249811880957227,3.3583765192099757,4.048788473800612,-0.060715450920830305,104,0.10573161586361343,0.07319727745347986,0.547945205479452,1.2023079577891385,220
v3 (52 池),2021 白马崩盘,2021-09-13,2022-04-29,-0.12042372913592814,-1.7603078941961854,-2.030379757977738,-1.4721160999017096,-0.08180314660234245,149,0.06841060562925987,0.05931093858809467,0.46308724832214765,0.8237307957007132,150
v3 (52 池),2022 慢熊,2022-01-01,2022-12-31,-0.09764595631530959,-1.5239055590498332,-1.9206182028797234,-0.9873932484242447,-0.09889267165958471,241,0.06407612055447359,0.05084089912763602,0.43983402489626555,0.9627267999382948,242
v3 (52 池),2023 慢熊延续,2023-01-01,2023-12-31,0.0812749121623888,1.9317416123629294,3.2535960195004656,4.503800440020148,-0.018045851108364208,104,0.04207338685579815,0.024980025693191986,0.5228215767634855,1.252711878437344,242
v4 style,Full Sample,2018-01-03,2026-05-29,0.04572746820571871,0.22401391451325375,0.29679018861313283,0.10169366495210357,-0.4496589657502832,1120,0.20412780297633365,0.15407338234258358,0.4702702702702703,1.0969407038428967,2036
v4 style,OOS 22-26,2022-01-01,2026-05-29,0.03922044999234431,0.20265936523821396,0.2669696690650809,0.10126116989946737,-0.3873197399485171,922,0.19352892942422384,0.14690975993525052,0.4684854186265287,1.1379752540570476,1064
v4 style,2018 贸易战大跌,2018-01-22,2018-12-28,-0.3975560575192999,-1.7531940412916065,-2.435321166685526,-1.049603199303358,-0.3787679551502563,198,0.22676101341664034,0.16324584328249978,0.35526315789473684,0.9943097608750895,229
v4 style,2019 春燥行情,2019-01-02,2019-04-26,0.9928940476082142,3.7634750931700705,6.953745182727191,12.556397437337766,-0.07907475472668135,17,0.263823732860651,0.14278550932158415,0.5,1.5779872151413448,77
v4 style,2020 疫情牛,2020-03-23,2021-02-10,0.536778043100473,2.6416801016351585,3.9931543128011247,6.373018455938969,-0.08422665755820202,78,0.20319570214736288,0.134424567911059,0.5159817351598174,1.2757868162528136,220
v4 style,2021 白马崩盘,2021-09-13,2022-04-29,-0.3938516516644177,-1.9347481046306014,-2.2987424946035344,-1.4020634126032527,-0.28090858667593477,149,0.20356740534944998,0.17133352369350338,0.47651006711409394,0.6735235121159755,150
