ablation,thr,sort_method,weight_method,oos_calmar,oos_ann,oos_dd,full_calmar,full_ann
expanding_thr0.0,0.0,ir_expanding,softmax,0.2772388750440854,0.06636021852919072,-0.23936115928416746,0.34387654562519293,0.08637098649607133
expanding_thr0.3,0.3,ir_expanding,softmax,0.2772388750440854,0.06636021852919072,-0.23936115928416746,0.34387654562519293,0.08637098649607133
expanding_thr0.5,0.5,ir_expanding,softmax,0.2772388750440854,0.06636021852919072,-0.23936115928416746,0.34387654562519293,0.08637098649607133
expanding_thr0.6,0.6,ir_expanding,softmax,0.2772388750440854,0.06636021852919072,-0.23936115928416746,0.34387654562519293,0.08637098649607133
expanding_thr0.7,0.7,ir_expanding,softmax,0.2772388750440854,0.06636021852919072,-0.23936115928416746,0.34387654562519293,0.08637098649607133
expanding_thr0.8,0.8,ir_expanding,softmax,0.2772388750440854,0.06636021852919072,-0.23936115928416746,0.34387654562519293,0.08637098649607133
expanding_thr0.9,0.9,ir_expanding,softmax,0.2772388750440854,0.06636021852919072,-0.23936115928416746,0.34387654562519293,0.08637098649607133
expanding_thr1.0,1.0,ir_expanding,softmax,0.2772388750440854,0.06636021852919072,-0.23936115928416746,0.34387654562519293,0.08637098649607133
expanding_thr1.1,1.1,ir_expanding,softmax,0.2772388750440854,0.06636021852919072,-0.23936115928416746,0.34387654562519293,0.08637098649607133
expanding_thr1.2,1.2,ir_expanding,softmax,0.2772388750440854,0.06636021852919072,-0.23936115928416746,0.34387654562519293,0.08637098649607133
predefined_thr0.0,0.0,predefined,softmax,0.5539805678476718,0.10726504339097387,-0.19362600353965587,0.5672873725891139,0.12693913226804643
predefined_thr0.5,0.5,predefined,softmax,0.5539805678476718,0.10726504339097387,-0.19362600353965587,0.5672873725891139,0.12693913226804643
predefined_thr1.0,1.0,predefined,softmax,0.5539805678476718,0.10726504339097387,-0.19362600353965587,0.5672873725891139,0.12693913226804643
warmup_ir_thr0.0,0.0,warmup_ir,softmax,0.30532232552093663,0.07588886135759054,-0.24855326654580545,0.4029651949192606,0.11059847912545884
warmup_ir_thr0.5,0.5,warmup_ir,softmax,0.30532232552093663,0.07588886135759054,-0.24855326654580545,0.4029651949192606,0.11059847912545884
warmup_ir_thr1.0,1.0,warmup_ir,softmax,0.30532232552093663,0.07588886135759054,-0.24855326654580545,0.4029651949192606,0.11059847912545884
