zscore_window,coef,clip_name,clip_low,clip_high,Sharpe,Calmar,AnnRet,MaxDD
4,0.3,激进,0.1,2.0,0.8431148519672764,0.7273981105614175,0.12990951925974037,-0.1785947988777069
4,0.3,标准,0.3,1.5,0.8431148519672764,0.7273981105614175,0.12990951925974037,-0.1785947988777069
4,0.3,保守,0.5,1.2,0.8431148519672764,0.7273981105614175,0.12990951925974037,-0.1785947988777069
4,0.5,激进,0.1,2.0,0.8457234010752145,0.7350948496211083,0.12954818459704098,-0.1762332910696005
4,0.5,标准,0.3,1.5,0.8457234010752145,0.7350948496211083,0.12954818459704098,-0.1762332910696005
4,0.5,保守,0.5,1.2,0.8450321669734654,0.7343466546853635,0.12941632774115308,-0.1762332910696005
4,0.8,激进,0.1,2.0,0.8489983452662833,0.7378500950037664,0.12797219790488557,-0.17343929176323047
4,0.8,标准,0.3,1.5,0.8489983452662833,0.7378500950037664,0.12797219790488557,-0.17343929176323047
4,0.8,保守,0.5,1.2,0.8465578716749593,0.7354317110573118,0.1275527551060014,-0.17343929176323114
4,1.0,激进,0.1,2.0,0.846337152796944,0.7362271908134301,0.1260555636255627,-0.17121829402455047
4,1.0,标准,0.3,1.5,0.846232277395871,0.7361508449267606,0.12604249181309046,-0.17121829402454924
4,1.0,保守,0.5,1.2,0.840520096622361,0.7296774427195964,0.125236931736451,-0.17163327849313492
4,1.5,激进,0.1,2.0,0.8376184874894493,0.731372779306987,0.12116034744087933,-0.16566154889669937
4,1.5,标准,0.3,1.5,0.8304385849282101,0.7223258810610241,0.12025444204279734,-0.1664822557183686
4,1.5,保守,0.5,1.2,0.8294230005662513,0.7062030482259668,0.12081011368379402,-0.17106994084389437
8,0.3,激进,0.1,2.0,0.8091890866854664,0.676357575190484,0.12410021690400974,-0.18348314775517838
8,0.3,标准,0.3,1.5,0.8091890866854664,0.676357575190484,0.12410021690400974,-0.18348314775517838
