date,weights,regime,lambda
2019-07-31,"{'510300': 0.1, '510500': 0.1, '159915': 0.1, '588000': 0.1, '510880': 0.1, '512040': 0.5}",bull,1.0
2019-09-30,{'512040': 1.0},sideways,1.0
2019-10-31,{'512040': 1.0},sideways,100.0
2019-12-31,"{'510300': 0.2, '510500': 0.2, '159915': 0.2, '588000': 0.2, '510880': 0.2}",bull,0.0
2020-03-31,{'512040': 1.0},sideways,0.0
2020-04-30,{'512040': 1.0},sideways,0.0
2020-06-30,"{'510300': 0.2, '510500': 0.2, '159915': 0.2, '588000': 0.2, '510880': 0.2}",bull,0.0
2020-07-31,"{'510300': 0.2, '510500': 0.2, '159915': 0.2, '588000': 0.2, '510880': 0.2}",bull,0.0
2020-08-31,"{'510300': 0.2, '510500': 0.2, '159915': 0.2, '588000': 0.2, '510880': 0.2}",bull,0.0
2020-09-30,{'512040': 1.0},sideways,0.0
2020-11-30,{'512040': 1.0},sideways,0.0
2020-12-31,"{'510300': 0.2, '510500': 0.2, '159915': 0.2, '588000': 0.2, '510880': 0.2}",bull,0.0
2021-03-31,{'512040': 1.0},sideways,100.0
2021-04-30,{'512040': 1.0},sideways,100.0
2021-05-31,{'512040': 1.0},sideways,0.0
2021-06-30,{'512040': 1.0},sideways,0.0
2021-08-31,{'512040': 1.0},sideways,100.0
2021-09-30,{'512040': 1.0},sideways,100.0
2021-11-30,{'512040': 1.0},sideways,100.0
2021-12-31,{'512040': 1.0},sideways,0.0
2022-02-28,"{'512040': 0.3333333333333333, '510880': 0.08333333333333333, '512890': 0.08333333333333333, '515080': 0.08333333333333333, '515100': 0.08333333333333333, '515900': 0.3333333333333333}",bear,100.0
2022-03-31,{'512040': 1.0},bear,100.0
2022-05-31,"{'512040': 0.3333333333333333, '510880': 0.08333333333333333, '512890': 0.08333333333333333, '515080': 0.08333333333333333, '515100': 0.08333333333333333, '515900': 0.3333333333333333}",bear,100.0
2022-06-30,{'512040': 1.0},sideways,0.0
2022-08-31,{'512040': 1.0},sideways,0.0
2022-09-30,"{'512040': 0.3333333333333333, '510880': 0.08333333333333333, '512890': 0.08333333333333333, '515080': 0.08333333333333333, '515100': 0.08333333333333333, '515900': 0.3333333333333333}",bear,0.0
2022-10-31,"{'512040': 0.3333333333333333, '510880': 0.08333333333333333, '512890': 0.08333333333333333, '515080': 0.08333333333333333, '515100': 0.08333333333333333, '515900': 0.3333333333333333}",bear,0.0
2022-11-30,"{'512040': 0.3333333333333333, '510880': 0.08333333333333333, '512890': 0.08333333333333333, '515080': 0.08333333333333333, '515100': 0.08333333333333333, '515900': 0.3333333333333333}",bear,0.0
2023-01-31,{'512040': 1.0},sideways,100.0
2023-02-28,{'512040': 1.0},sideways,100.0
2023-03-31,{'512040': 1.0},sideways,100.0
2023-05-31,{'512040': 1.0},sideways,100.0
2023-06-30,{'512040': 1.0},sideways,100.0
2023-07-31,{'512040': 1.0},sideways,0.0
2023-08-31,{'512040': 1.0},sideways,0.0
2023-10-31,{'512040': 1.0},sideways,0.0
2023-11-30,{'512040': 1.0},sideways,0.0
2024-01-31,"{'512040': 0.3333333333333333, '510880': 0.08333333333333333, '512890': 0.08333333333333333, '515080': 0.08333333333333333, '515100': 0.08333333333333333, '515900': 0.3333333333333333}",bear,0.0
2024-02-29,{'512040': 1.0},sideways,0.0
2024-04-30,{'512040': 1.0},sideways,0.0
2024-05-31,{'512040': 1.0},sideways,0.0
2024-07-31,{'512040': 1.0},sideways,100.0
2024-09-30,"{'510300': 0.2, '510500': 0.2, '159915': 0.2, '588000': 0.2, '510880': 0.2}",bull,100.0
2024-10-31,{'512040': 1.0},sideways,100.0
2024-12-31,{'512040': 1.0},sideways,100.0
2025-02-28,{'512040': 1.0},sideways,100.0
2025-03-31,{'512040': 1.0},sideways,0.0
2025-04-30,{'512040': 1.0},sideways,0.0
2025-06-30,{'512040': 1.0},sideways,0.0
2025-07-31,"{'510300': 0.2, '510500': 0.2, '159915': 0.2, '588000': 0.2, '510880': 0.2}",bull,0.0
2025-09-30,"{'510300': 0.2, '510500': 0.2, '159915': 0.2, '588000': 0.2, '510880': 0.2}",bull,100.0
2025-10-31,"{'510300': 0.2, '510500': 0.2, '159915': 0.2, '588000': 0.2, '510880': 0.2}",bull,100.0
2025-12-31,{'512040': 1.0},sideways,0.0
2026-03-31,{'512040': 1.0},sideways,0.0
2026-04-30,{'512040': 1.0},sideways,0.0
2026-06-30,"{'510300': 0.10650379181562745, '510500': 0.10650379181562745, '159915': 0.10650379181562745, '588000': 0.10650379181562745, '510880': 0.10650379181562745, '512040': 0.4674810409218627}",bull,0.0
