权重,top_k,corr_name,corr_thr,Sharpe,Calmar,MaxDD,AnnRet,Vol,WinRate,TotalReturn,N_Weeks,N_Years
Stage28 (加动量),3,无约束,0.0,0.7712104766361583,0.6685441007615726,-0.2431829127875339,0.16257850175012178,0.19409126421158265,0.3953488372093023,2.4752975571668543,430,8.26923076923077
Stage28 (加动量),3,corr=0.8,0.8,0.7183575720424191,0.5944226014806495,-0.24318291278753412,0.14455341965480795,0.18394382231913506,0.39069767441860465,2.0540431702859867,430,8.26923076923077
偏质量,4,无约束,0.0,0.6935414846141629,0.6624765897863776,-0.17624310906416574,0.11675693386617714,0.14574613419400756,0.3627906976744186,1.4921903355812396,430,8.26923076923077
Stage28 (加动量),3,corr=0.7,0.7,0.6894215104450317,0.572308016243903,-0.2431829127875339,0.1391755304018476,0.18513975993630682,0.3953488372093023,1.937386707699877,430,8.26923076923077
偏动量,5,corr=0.7,0.7,0.6704228956860084,0.587465522268483,-0.23511437672830726,0.1381215901175239,0.19039934238930722,0.3883720930232558,1.9149896187263287,430,8.26923076923077
偏质量,5,无约束,0.0,0.6682042806201695,0.7251051139822586,-0.15226152915479307,0.11040561345289923,0.1419263995633088,0.37906976744186044,1.3773780474610033,430,8.26923076923077
偏质量,3,无约束,0.0,0.6599608512443742,0.6762401313795454,-0.16832264687194975,0.11382652883484012,0.15023450502600014,0.3627906976744186,1.4386259323446176,430,8.26923076923077
偏质量,4,corr=0.8,0.8,0.6485112528624172,0.6489319223441247,-0.16110465956777398,0.10454595643191134,0.13704682627157203,0.37209302325581395,1.2756041961653568,430,8.26923076923077
Stage28 (加动量),4,无约束,0.0,0.6094233980466968,0.5639767561864387,-0.21630176014473845,0.12198916504384671,0.18389972295017024,0.37906976744186044,1.5904057185158975,430,8.26923076923077
偏动量,5,corr=0.8,0.8,0.6042122695102438,0.5025868851566536,-0.2469087006879458,0.12409307479683118,0.19087741678351525,0.386046511627907,1.6308477331470201,430,8.26923076923077
偏动量,6,corr=0.7,0.7,0.588157416990944,0.5096719523571395,-0.22416904620452105,0.11425267543709605,0.17663756472128592,0.37906976744186044,1.4463519511668355,430,8.26923076923077
偏动量,4,corr=0.7,0.7,0.5828785268551119,0.5227733886702677,-0.24336864721782236,0.1272266524021599,0.20868153469318618,0.3767441860465116,1.6921113482817582,430,8.26923076923077
偏质量,3,corr=0.8,0.8,0.5725118398050604,0.5700123518580141,-0.1683226468719503,0.09594598781444641,0.143090870122106,0.36511627906976746,1.1331710069327436,430,8.26923076923077
