name,top_k,corr,corr_thr,Sharpe,Calmar,MaxDD,AnnRet,Vol,WinRate,TotalReturn,N_Weeks,N_Years
v4B++ top=3,3,False,0.0,0.7712104766361583,0.6685441007615726,-0.2431829127875339,0.16257850175012178,0.19409126421158265,0.3953488372093023,2.4752975571668543,430,8.26923076923077
v4B+++ top=3 corr=0.7,3,True,0.7,0.6894215104450317,0.572308016243903,-0.2431829127875339,0.1391755304018476,0.18513975993630682,0.3953488372093023,1.937386707699877,430,8.26923076923077
v4B++ top=4,4,False,0.0,0.6094233980466968,0.5639767561864387,-0.21630176014473845,0.12198916504384671,0.18389972295017024,0.37906976744186044,1.5904057185158975,430,8.26923076923077
v4B++ top=6,6,False,0.0,0.5630015817175972,0.5757321532836204,-0.1880468881951336,0.10826463985886847,0.1739943465777343,0.37209302325581395,1.339737915948807,430,8.26923076923077
v4B++ top=5,5,False,0.0,0.5369659424437294,0.5454087721875317,-0.19240976524913334,0.10494197382142101,0.17818225802062196,0.3813953488372093,1.2823597086878316,430,8.26923076923077
v4B+++ top=5 corr=0.8,5,True,0.8,0.5233773280140201,0.457083594824553,-0.2146994596702233,0.0981356008329548,0.16758281139472106,0.3813953488372093,1.1686706850478,430,8.26923076923077
v4B+++ top=5 corr=0.7,5,True,0.7,0.5176984931690998,0.4654676837090361,-0.20796595475026092,0.09680143124794216,0.1669196493144093,0.3883720930232558,1.1469788324001313,430,8.26923076923077
v4B+++ top=4 corr=0.7,4,True,0.7,0.5167154674469322,0.4672530562948726,-0.2120916535940468,0.09910047335645178,0.17341783383079717,0.386046511627907,1.1844780673689215,430,8.26923076923077
v4B++ top=10,10,False,0.0,0.49726433750645166,0.4653728645131285,-0.19613777385489772,0.09127719765808195,0.16173289576320282,0.38372093023255816,1.0591782214104706,430,8.26923076923077
v4B++ top=8,8,False,0.0,0.49104261509764,0.4899974306843299,-0.1879658232212702,0.09210277043488735,0.16715287888407432,0.37906976744186044,1.0720955806754464,430,8.26923076923077
v4B+++ top=4 corr=0.8,4,True,0.8,0.4751269494766476,0.40340987227355435,-0.22431432681339358,0.09049061392891944,0.1712088860238624,0.37906976744186044,1.0469368130813974,430,8.26923076923077
v4B+++ top=8 corr=0.8,8,True,0.8,0.4463511377210404,0.4201803161442472,-0.18790816814218447,0.07895531349606943,0.15107207785863813,0.3744186046511628,0.8746198499107805,430,8.26923076923077
v4B++ top=12,12,False,0.0,0.4310387232555482,0.37569920601941836,-0.2057499085142348,0.07730007726736599,0.15370155433097227,0.3883720930232558,0.8509707682760683,430,8.26923076923077
v4B+++ top=10 corr=0.8,10,True,0.8,0.42985566687832677,0.42055968373327246,-0.17731523418336048,0.07457163880924522,0.14540942746964194,0.3813953488372093,0.8125605194354444,430,8.26923076923077
v4B+++ top=8 corr=0.7,8,True,0.7,0.4087364755242706,0.3849300391108383,-0.18868473693269072,0.07263042316711887,0.15033061893366104,0.37906976744186044,0.7856609150760814,430,8.26923076923077
v4B+++ top=6 corr=0.7,6,True,0.7,0.38843815875439835,0.3465138703232959,-0.2058605990999518,0.0713335529411967,0.15831188361130064,0.3767441860465116,0.7678861996405246,430,8.26923076923077
v4B+++ top=10 corr=0.7,10,True,0.7,0.36801208359287674,0.35887819738987736,-0.17731523418336026,0.06363457161348829,0.13990150154521336,0.38372093023255816,0.6655317253366166,430,8.26923076923077
v4B++ top=15,15,False,0.0,0.3593595905748102,0.29763267861219367,-0.21595625915879935,0.06427563987650253,0.1480912436053529,0.40232558139534885,0.6738509220014748,430,8.26923076923077
v4B+++ top=15 corr=0.7,15,True,0.7,0.335160579645898,0.2673421643839724,-0.21059376750257663,0.05630059360991391,0.12835653027580848,0.3953488372093023,0.5729123563846195,430,8.26923076923077
v4B+++ top=12 corr=0.7,12,True,0.7,0.3265662861332692,0.30247131320096005,-0.18725068903743658,0.05663796181093805,0.13568151636377607,0.3744186046511628,0.5770713710424338,430,8.26923076923077
v4B+++ top=15 corr=0.8,15,True,0.8,0.3254019477856934,0.2734523401813114,-0.2063131153653599,0.056416804206754545,0.135326242028054,0.386046511627907,0.5743438898647648,430,8.26923076923077
