n_days,n_years,start_nav,end_nav,ann_pct,vol_pct,sharpe,max_dd_pct,calmar,bootstrap_times,random_state,period,elapsed_sec
4173,16.56,1.0,1.607,2.906,7.373,0.3941,-22.034,0.1319,50,42,full,13.8
1105,4.38,1.3904,1.607,3.357,7.034,0.4773,-8.973,0.3741,50,42,oos_2022,13.8
845,3.35,1.3555,1.607,5.207,6.748,0.7715,-8.465,0.6151,50,42,oos_2023,13.8
4173,16.56,1.0,1.6064,2.904,7.328,0.3962,-21.584,0.1345,100,42,full,26.5
1105,4.38,1.3898,1.6064,3.357,7.034,0.4773,-8.973,0.3741,100,42,oos_2022,26.5
845,3.35,1.355,1.6064,5.207,6.748,0.7715,-8.465,0.6151,100,42,oos_2023,26.5
4173,16.56,1.0,1.6473,3.06,7.27,0.4209,-19.878,0.1539,200,42,full,52.7
1105,4.38,1.4305,1.6473,3.27,7.021,0.4658,-8.979,0.3642,200,42,oos_2022,52.7
845,3.35,1.3946,1.6473,5.091,6.73,0.7565,-8.471,0.601,200,42,oos_2023,52.7
4173,16.56,1.0,1.6389,3.028,7.126,0.425,-18.239,0.166,500,42,full,128.7
1105,4.38,1.4232,1.6389,3.27,7.021,0.4658,-8.979,0.3642,500,42,oos_2022,128.7
845,3.35,1.3875,1.6389,5.091,6.73,0.7565,-8.471,0.601,500,42,oos_2023,128.7
4173,16.56,1.0,1.5992,2.876,7.044,0.4082,-18.016,0.1596,1000,42,full,256.1
1105,4.38,1.3859,1.5992,3.319,6.942,0.478,-8.492,0.3908,1000,42,oos_2022,256.1
845,3.35,1.3515,1.5992,5.147,6.622,0.7773,-7.763,0.663,1000,42,oos_2023,256.1
