pool,fold,strategy,ann,sharpe,dd,calmar
7etf,1,A_topk,0.4880912017309944,2.0409984305901916,-0.07129832464631203,6.84575975876372
7etf,1,B_bl,0.3578002305546739,1.5701629374868287,-0.09179522891825509,3.8978085764489996
7etf,1,C_beta,0.5117117050571509,2.352410735885132,-0.06102090502543722,8.385842603347793
7etf,1,D_momentum,0.6555322951663263,3.0766655218441517,-0.05719287491932756,11.461782540062485
7etf,1,E_iv,0.49187739410450515,2.403402185436753,-0.06065467851571871,8.109471621006692
7etf,2,A_topk,0.23411791988432173,2.51925386372853,-0.023057309455250974,10.153739764767078
7etf,2,B_bl,0.23411791988432173,2.519253863728533,-0.023057309455250863,10.153739764767126
7etf,2,C_beta,0.18560939632265483,1.961201952575981,-0.01359505021327212,13.652718703565679
7etf,2,D_momentum,0.24949542105265476,2.28283835591702,-0.026823964324886318,9.30121357271497
7etf,2,E_iv,0.19440508852217975,2.3527829798233544,-0.022949503140101246,8.470993351593846
7etf,3,A_topk,0.007831885290502383,0.06353110472622665,-0.12179479099422919,0.06430394294016621
7etf,3,B_bl,0.0867180455106129,1.0702316627115553,-0.030693835439773,2.82525934827434
7etf,3,C_beta,0.043640218336032266,0.39877107013834473,-0.08603483504892795,0.5072389377071985
7etf,3,D_momentum,-0.05292388038292706,-0.5057251324207318,-0.1170902040515649,-0.4519923832366038
7etf,3,E_iv,-0.0018206035417792643,-0.01500026581184686,-0.11045821120187438,-0.016482283408083748
7etf,4,A_topk,0.15160424482698898,0.8295319187284075,-0.11595697240075054,1.3074181024927114
7etf,4,B_bl,0.1426979758450868,0.6074454534594476,-0.16694459661630034,0.8547624705282248
7etf,4,C_beta,0.095033449797703,0.48342977621539907,-0.10282341907475068,0.9242393479311896
7etf,4,D_momentum,0.13021033314422525,0.6513500973003907,-0.10445138233670492,1.2466118708174192
7etf,4,E_iv,0.11272079667152668,0.5988747956603913,-0.11295308312104235,0.9979435138634795
7etf,5,A_topk,0.30767834931381755,1.3045769081260201,-0.03758835262014559,8.185470441418504
7etf,5,B_bl,0.2899288732193317,0.892072933154194,-0.1343252738169044,2.1584089500128387
7etf,5,C_beta,0.4676502055232963,1.4265234275716512,-0.05867201608061945,7.9705835381677055
7etf,5,D_momentum,0.3774937426615519,1.2956752456792093,-0.03159151202148969,11.949214156155838
7etf,5,E_iv,0.36926237321740896,2.1219146398952016,-0.0006797302323396925,543.2484177529881
41etf,1,A_topk,0.0,0.0,0.0,0.0
41etf,1,B_bl,0.0,0.0,0.0,0.0
41etf,1,C_beta,0.0,0.0,0.0,0.0
41etf,1,D_momentum,0.0,0.0,0.0,0.0
41etf,1,E_iv,0.0,0.0,0.0,0.0
41etf,2,A_topk,0.0576017352986975,10.892561485546253,0.0,0.0
41etf,2,B_bl,0.0576017352986975,10.892561485546253,0.0,0.0
41etf,2,C_beta,0.0576017352986975,10.892561485546253,0.0,0.0
41etf,2,D_momentum,-0.019984273287590892,-0.21485665204139912,-0.021344445016316604,-0.9362751419544552
41etf,2,E_iv,0.07883268474393756,11.135585998748507,0.0,0.0
41etf,3,A_topk,-0.01133773765101398,-0.05838186408573433,-0.09965670377884739,-0.11376793754059994
41etf,3,B_bl,-0.05523700770796247,-0.30397894193797736,-0.15817117818322457,-0.3492229642746686
41etf,3,C_beta,0.06395066449534514,0.2452670177893544,-0.13247376995361637,0.4827420893791765
41etf,3,D_momentum,-0.1466806680559246,-0.7164409322938531,-0.24708272463992176,-0.5936500346986422
41etf,3,E_iv,-0.013031553232877857,-0.08164063245894694,-0.14373890448961324,-0.09066128115523195
41etf,4,A_topk,0.1245035091515021,0.4631231651782144,-0.20443329671548782,0.609017763504421
41etf,4,B_bl,0.043511039966813714,0.20993719210335263,-0.17600652462295763,0.24721265339465887
41etf,4,C_beta,-0.07078620454354911,-0.3833750929357063,-0.18633541835927847,-0.3798859345519824
41etf,4,D_momentum,-0.026183536897695814,-0.17313037576406462,-0.08475587126278683,-0.30892888607697006
41etf,4,E_iv,0.0449691595446311,0.20279375944287079,-0.1540246374674462,0.29196082058063944
41etf,5,A_topk,0.23174307219016765,0.6396429717739044,-0.18585313815118576,1.2469150346100255
41etf,5,B_bl,0.10672848957201242,0.33058052634581997,-0.1798399676796194,0.5934636830125919
41etf,5,C_beta,0.1701060146371447,0.4786052294135216,-0.10785161977428503,1.5772226230180635
41etf,5,D_momentum,0.07632072902951426,0.28948293220830695,-0.09772608923279624,0.7809657546789616
41etf,5,E_iv,0.22115060263610653,1.1934430580172797,-0.032764195684649056,6.749764430802792
