code,start_date,end_date,n_obs,n_years,completeness,ann_ret,ann_vol,avg_daily_amount,pass_exclude,pass_amount,pass_completeness,passed
512480,2019-06-12,2026-06-30,1710,7.05,0.949,0.2876,0.3742,220693895.0,True,True,True,True
512170,2019-06-17,2026-06-30,1707,7.04,0.949,-0.0098,0.279,391442588.0,True,True,True,True
512400,2019-06-12,2026-06-30,1710,7.05,0.949,0.1639,0.3371,258879631.0,True,True,True,True
515880,2019-09-06,2026-06-30,1648,6.81,0.946,0.2707,0.3525,58087814.0,True,True,True,True
513520,2019-06-25,2026-06-30,1701,7.01,0.948,0.1421,0.2345,152724202.0,True,True,True,True
159766,2021-07-23,2026-06-30,1194,4.94,0.946,-0.1092,0.2793,162857478.0,True,True,True,True
513050,2019-06-12,2026-06-30,1710,7.05,0.949,-0.0232,0.305,1089689556.0,True,True,True,True
512010,2019-06-12,2026-06-30,1710,7.05,0.949,-0.0123,0.2621,323110147.0,True,True,True,True
512760,2019-06-12,2026-06-30,1710,7.05,0.949,0.2937,0.3707,504139118.0,True,True,True,True
159901,2019-06-12,2026-06-30,1710,7.05,0.949,0.1038,0.2399,99417209.0,True,True,True,True
510300,2019-06-12,2026-06-30,1710,7.05,0.949,0.0685,0.2031,2651387345.0,True,True,True,True
510900,2019-06-12,2026-06-30,1710,7.05,0.949,-0.0307,0.2317,819441186.0,True,True,True,True
515050,2019-10-16,2026-06-30,1626,6.7,0.948,0.2418,0.3432,76694834.0,True,True,True,True
159740,2021-05-27,2026-06-30,1234,5.09,0.948,-0.1067,0.3384,801824306.0,True,True,True,True
159985,2019-12-05,2026-06-30,1590,6.57,0.947,0.1124,0.1957,148894758.0,True,True,True,True
513100,2019-06-12,2026-06-30,1710,7.05,0.949,0.2224,0.2445,314998359.0,True,True,True,True
512800,2019-06-12,2026-06-30,1710,7.05,0.949,0.0487,0.1793,321152474.0,True,True,True,True
512660,2019-06-12,2026-06-30,1710,7.05,0.949,0.0857,0.3081,401278838.0,True,True,True,True
515790,2020-12-18,2026-06-30,1338,5.53,0.946,0.0019,0.3495,629347154.0,True,True,True,True
512690,2019-06-12,2026-06-30,1710,7.05,0.949,0.1637,0.4449,515483386.0,True,True,True,True
513300,2020-11-05,2026-06-30,1369,5.65,0.948,0.1899,0.2305,257608944.0,True,True,True,True
513500,2019-06-12,2026-06-30,1710,7.05,0.949,0.1505,0.1898,170751780.0,True,True,True,True
159981,2020-01-17,2026-06-30,1560,6.45,0.946,0.0574,0.2525,149457082.0,True,True,True,True
512000,2019-06-12,2026-06-30,1710,7.05,0.949,0.0293,0.2844,661138493.0,True,True,True,True
159928,2019-06-12,2026-06-30,1710,7.05,0.949,-0.0178,0.2386,151330363.0,True,True,True,True
518880,2019-06-12,2026-06-30,1710,7.05,0.949,0.1584,0.1731,1743510097.0,True,True,True,True
510050,2019-06-12,2026-06-30,1710,7.05,0.949,0.033,0.1947,2045656620.0,True,True,True,True
515030,2020-03-04,2026-06-30,1533,6.32,0.948,0.1059,0.3388,300088790.0,True,True,True,True
512980,2019-06-12,2026-06-30,1710,7.05,0.949,0.0185,0.3187,111766643.0,True,True,True,True
513010,2021-05-25,2026-06-30,1236,5.1,0.948,-0.0989,0.3391,665154034.0,True,True,True,True
159920,2019-06-12,2026-06-30,1710,7.05,0.949,-0.0125,0.2136,752402387.0,True,True,True,True
159915,2019-06-12,2026-06-30,1710,7.05,0.949,0.1736,0.3028,1677198367.0,True,True,True,True
510500,2019-06-12,2026-06-30,1710,7.05,0.949,0.113,0.2208,1576398339.0,True,True,True,True
512200,2019-06-12,2026-06-30,1710,7.05,0.949,-0.0953,0.2822,699903857.0,True,True,True,True
159941,2019-06-12,2026-06-30,1710,7.05,0.949,0.2181,0.2517,384201093.0,True,True,True,True
159996,2020-03-16,2026-06-30,1525,6.29,0.948,0.0776,0.2219,82539351.0,True,True,True,True
588000,2020-11-16,2026-06-30,1362,5.62,0.948,0.0873,0.3083,2659885558.0,True,True,True,True
513880,2019-06-25,2026-06-30,1701,7.01,0.948,0.1313,0.2114,63550407.0,True,True,True,True
161226,2019-06-12,2026-06-30,1710,7.05,0.949,0.1235,0.3431,89543417.0,True,True,True,True
512880,2019-06-12,2026-06-30,1710,7.05,0.949,0.0297,0.2844,1277911473.0,True,True,True,True
515220,2020-03-02,2026-06-30,1535,6.33,0.949,0.2021,0.3792,199356764.0,True,True,True,True
