factor,as_of,success,elapsed_sec,n_obs,latest_value,error
PMI,2026-06-05,True,0.008681297302246094,101,50.0,
CPI,2026-06-05,True,0.0010263919830322266,100,1.2,
M2,2026-06-05,True,0.0008769035339355469,100,8.6,
CN10Y,2026-06-05,True,0.0009853839874267578,2104,1.7207,
US10Y,2026-06-05,True,0.0008857250213623047,2107,4.55,
PMI,2026-06-10,True,0.0008568763732910156,101,50.0,
CPI,2026-06-10,True,0.0007870197296142578,101,1.2,
M2,2026-06-10,True,0.0008943080902099609,100,8.6,
CN10Y,2026-06-10,True,0.0008795261383056641,2107,1.7476,
US10Y,2026-06-10,True,0.0008478164672851562,2110,4.55,
PMI,2026-06-15,True,0.0007433891296386719,101,50.0,
CPI,2026-06-15,True,0.0007278919219970703,101,1.2,
M2,2026-06-15,True,0.0007603168487548828,101,8.6,
CN10Y,2026-06-15,True,0.0008072853088378906,2110,1.7446,
US10Y,2026-06-15,True,0.0007922649383544922,2113,4.47,
PMI,2026-06-20,True,0.0007560253143310547,101,50.0,
CPI,2026-06-20,True,0.0007331371307373047,101,1.2,
M2,2026-06-20,True,0.0007526874542236328,101,8.6,
CN10Y,2026-06-20,True,0.0008282661437988281,2113,1.7299,
US10Y,2026-06-20,True,0.0007679462432861328,2116,4.46,
PMI,2026-06-25,True,0.0007412433624267578,101,50.0,
CPI,2026-06-25,True,0.0007636547088623047,101,1.2,
M2,2026-06-25,True,0.0007843971252441406,101,8.6,
CN10Y,2026-06-25,True,0.00078582763671875,2117,1.7351,
US10Y,2026-06-25,True,0.0008015632629394531,2120,4.4,
PMI,2026-06-30,True,0.0007276535034179688,101,50.0,
CPI,2026-06-30,True,0.0007381439208984375,101,1.2,
M2,2026-06-30,True,0.0007491111755371094,101,8.6,
CN10Y,2026-06-30,True,0.0008518695831298828,2120,1.733,
US10Y,2026-06-30,True,0.0008027553558349609,2123,4.44,
