date,regime,vol_target,PMI,CPI,M2,CN10Y,US10Y,PMI_zscore,CPI_zscore,M2_zscore,CN10Y_zscore,US10Y_zscore
2018-08-28,stagflation,0.06,51.2,2.06,8.5,3.6101,2.88,-1.1824753962970491,1.8064778591146082,1.4221202817696443,0.772344775211196,-0.31745386541972515
2018-08-29,neutral,0.14,51.2,2.06,8.5,3.6101,2.89,-1.1605375015872008,1.7478272009759168,1.3890194383089052,0.7627800328753137,-0.12776769130315158
2018-08-30,stagflation,0.06,51.2,2.06,8.5,3.5801,2.86,-1.1397827573873982,1.6945607203470112,1.3581370872493443,0.3029407573718279,-0.6903325458054904
2018-08-31,neutral,0.14,51.2,2.06,8.5,3.5751,2.86,-1.1201083484138206,1.6459017692031903,1.32923578130108,0.22439638067549886,-0.6826653207500301
2018-09-03,stagflation,0.06,51.3,2.06,8.5,3.5951,2.86,-0.7638788512913282,1.601221989488285,1.3021121973361407,0.5286377793019595,-0.6752490872897564
2018-09-04,neutral,0.14,51.3,2.06,8.5,3.6101,2.9,-0.7550442749468841,1.5600067919496232,1.2765910799102875,0.753106398794216,0.0941265762084765
2018-09-05,stagflation,0.06,51.3,2.06,8.5,3.6101,2.9,-0.7465106296917574,1.521830174496666,1.2525204487094619,0.7446105278097707,0.09344602714471562
2018-09-06,neutral,0.14,51.3,2.06,8.5,3.6101,2.88,-0.7382611692370454,1.486336033740287,1.2297677695903766,0.7363970659376782,-0.295038877853264
2018-09-07,stagflation,0.06,51.3,2.06,8.5,3.6301,2.94,-0.7302804252699998,1.4532240795210831,1.2082168683247156,1.0350187839336618,0.874072368435039
2018-09-10,neutral,0.14,51.3,2.3,8.5,3.6551,2.94,-0.7225540846491852,3.109736341703888,1.1877654225931387,1.397635105955266,0.8634332865887709
2018-09-11,stagflation,0.06,51.3,2.3,8.5,3.6751,2.98,-0.7150688807264503,2.900007128679049,1.1683229084075915,1.6642758370488393,1.611364700330052
2018-09-12,recession,0.1,51.3,2.3,8.2,3.6551,2.97,-0.707812496914077,2.7277440672488282,-0.35199474693013005,1.3308616496621661,1.3878783842197877
2018-09-13,recession,0.1,51.3,2.3,8.2,3.6526,2.97,-0.7007734808989574,2.582975535807897,-0.3493797504802863,1.2698286285165745,1.361116507198253
2018-09-14,recession,0.1,51.3,2.3,8.2,3.6351,2.99,-0.6939411681417225,2.4590890113834885,-0.3468222728091742,0.9901186199344593,1.7007257978770227
2018-09-17,recession,0.1,51.3,2.3,8.2,3.6327,2.99,-0.6873056134955783,2.351503547226718,-0.3443202329167221,0.9418127273113281,1.6585210071083871
2018-09-18,recession,0.1,51.3,2.3,8.2,3.6452,3.05,-0.6808575299459564,2.2569318588489744,-0.34187165382855256,1.115903504924161,2.637935765724838
2018-09-19,recession,0.1,51.3,2.3,8.2,3.6727,3.08,-0.6745882336100943,2.172945597008292,-0.33947465599744525,1.5022302749146266,2.971904472556452
2018-09-20,recession,0.1,51.3,2.3,8.2,3.7003,3.07,-0.6684895942544444,2.0977067952275212,-0.33712745120980825,1.863864032815431,2.655169893558311
2018-09-21,recession,0.1,51.3,2.3,8.2,3.6752,3.07,-0.6625539906875464,2.029795289120412,-0.33482833695196973,1.4619953760832234,2.529803390133957
2018-09-24,recession,0.1,51.3,2.3,8.2,3.6752,3.08,-0.6567742704699954,1.9680940420078703,-0.33257569119572206,1.4343595888642378,2.559826531121292
2018-09-25,recession,0.1,51.3,2.3,8.2,3.6754,3.1,-0.6511437134563993,1.9117107323471132,-0.3303679675669737,1.4110419724390613,2.7147758025601467
2018-09-26,recession,0.1,51.3,2.3,8.2,3.6503,3.06,-0.6456559987459973,1.8599227869397832,-0.3282036908642554,1.033094454702517,2.0620768818472204
2018-09-27,recession,0.1,51.3,2.3,8.2,3.6253,3.06,-0.6403051746711184,1.8121380013069275,-0.32608145289797197,0.6640620116657987,2.000052041151554
2018-09-28,recession,0.1,51.3,2.3,8.2,3.6153,3.05,-0.6350856314989438,1.7678657791540962,-0.32399990862320166,0.5144366468906875,1.8123356380211357
2018-10-01,recession,0.1,50.8,2.3,8.2,3.6103,3.09,-2.3936364898688196,1.726695764669273,-0.3219577725421017,0.4381969613769615,2.2799520300012963
2018-10-02,recession,0.1,50.8,2.3,8.2,3.6103,3.05,-2.3054413729106966,1.6882817219629924,-0.31995381535384465,0.43524876237472176,1.7007037466993966
2018-10-03,recession,0.1,50.8,2.3,8.2,3.6103,3.15,-2.226344294710082,1.6523292038648638,-0.31798686083230543,0.4323593944375113,2.872198338113637
2018-10-04,recession,0.1,50.8,2.3,8.2,3.6103,3.19,-2.1548814443346416,1.6185860004799597,-0.3160557829132932,0.4295269236037687,3.1670406296501725
2018-10-05,recession,0.1,50.8,2.3,8.2,3.6103,3.23,-2.0898988200522037,1.586834656072566,-0.31415950297492545,0.42674950387321153,3.388595185120392
2018-10-08,recession,0.1,50.8,2.3,8.2,3.6155,3.23,-2.030472725000357,1.5568865449868632,-0.3122969872963391,0.5012754669726311,3.1758898707366843
2018-10-09,recession,0.1,50.8,2.3,8.2,3.6156,3.21,-1.9758538565227861,1.5285771367358276,-0.3104672446807471,0.4994140371457894,2.8139920217101833
2018-10-10,recession,0.1,50.8,2.47,8.2,3.6156,3.22,-1.925427137337773,2.258129734137533,-0.30866932423073273,0.49611430665519396,2.7775924808158705
2018-10-11,recession,0.1,50.8,2.47,8.2,3.5806,3.14,-1.878682305171438,2.1877781867534374,-0.30690231326429285,-0.03483280741730352,1.9318672442181193
2018-10-12,recession,0.1,50.8,2.47,8.3,3.5831,3.15,-1.8351920133783797,2.1236285965835084,0.2633132433412698,0.0032911401000162432,1.9768950444214959
2018-10-15,recession,0.1,50.8,2.47,8.3,3.5857,3.16,-1.7945952760304702,2.064820178668101,0.2618720964248539,0.042947075085475066,2.017988443555681
2018-10-16,recession,0.1,50.8,2.47,8.3,3.5757,3.16,-1.756584781429167,2.010650615309981,0.2604543729457184,-0.11065993132257304,1.9669055035996723
2018-10-17,recession,0.1,50.8,2.47,8.3,3.5807,3.19,-1.7208970492272782,1.9605404197814618,0.25905944477158144,-0.03300939425855349,2.1802185239644802
2018-10-18,recession,0.1,50.8,2.47,8.3,3.5508,3.17,-1.6873047073538785,1.9140066293362439,0.2576867071162026,-0.4956469243933155,1.948444877490601
2018-10-19,recession,0.1,50.8,2.47,8.3,3.5658,3.2,-1.6556103695159996,1.8706430720635052,0.25633557743492147,-0.2597349185039616,2.1556002264706855
2018-10-22,recession,0.1,50.8,2.47,8.3,3.591,3.2,-1.6256417354740573,1.8301053504193798,0.25500549438324227,0.13546866227366777,2.097403905003195
2018-10-23,recession,0.1,50.8,2.47,8.3,3.5709,3.17,-1.5972476355831404,1.792099264475509,0.25369591683466886,-0.18093174711455204,1.7982684231684178
2018-10-24,recession,0.1,50.8,2.47,8.3,3.5409,3.1,-1.5702948118110043,1.7563717808989767,0.25240632295338544,-0.6522852158919672,1.182716207539782
2018-10-25,recession,0.1,50.8,2.47,8.3,3.5409,3.14,-1.5446652784773522,1.72270391147794,0.25113620931857117,-0.6478776360428169,1.5018874061410243
2018-10-26,recession,0.1,50.8,2.47,8.3,3.541,3.08,-1.5202541432365821,1.690905041668045,0.24988509009681123,-0.6419803155404677,0.9812223588308507
2018-10-29,recession,0.1,50.8,2.47,8.3,3.5111,3.08,-1.4969677963665722,1.6608083726806706,0.24865249625947478,-1.1084959267759766,0.9722639632854818
2018-10-30,recession,0.1,50.8,2.47,8.3,3.5161,3.12,-1.4747223969843815,1.6322672276247405,0.24743797484236713,-1.0188577410877242,1.2969034031662374
2018-10-31,recession,0.1,50.8,2.47,8.3,3.5086,3.15,-1.4534426003109153,1.6051520345643582,0.2462410882447503,-1.1267270135989207,1.5278655732031108
2018-11-01,recession,0.1,50.2,2.47,8.3,3.4936,3.14,-2.9590808089968474,1.5793478446140048,0.24506141356552932,-1.3483515039267209,1.4233591855623933
2018-11-02,recession,0.1,50.2,2.47,8.3,3.5461,3.22,-2.835153471645715,1.554752276434076,0.24389854197408953,-0.5111870615369334,2.045870924346025
2018-11-05,recession,0.1,50.2,2.47,8.3,3.5312,3.2,-2.7256117367097494,1.5312738031711859,0.24275207811380767,-0.7435582949267705,1.8428341991513764
2018-11-06,recession,0.1,50.2,2.47,8.3,3.5113,3.22,-2.627871967988399,1.508830316400786,0.24162163953614962,-1.0515406654455006,1.9627860504409897
2018-11-07,recession,0.1,50.2,2.47,8.3,3.4813,3.22,-2.5399566973035976,1.487347915648115,0.24050685616359369,-1.5083491986222095,1.9217476919953913
