factor_idx,factor_name,IC_type,IC_mean,IC_std,ICIR,pct_positive,n_obs,method
0,宏观增长因子,时间序列,0.0293,0.0,0.0,1.0,147,full_sample
1,宏观通胀因子_生活端,时间序列,-0.0175,0.0,0.0,0.0,147,full_sample
2,宏观通胀因子_生产端,时间序列,0.0085,0.0,0.0,1.0,147,full_sample
3,无风险收益率,时间序列,-0.1464,0.0,0.0,0.0,147,full_sample
4,信用利差因子,时间序列,0.0157,0.0,0.0,1.0,147,full_sample
5,期限利差因子_债,时间序列,-0.0659,0.0,0.0,0.0,147,full_sample
6,期限利差因子_股,时间序列,-0.0854,0.0,0.0,0.0,147,full_sample
7,宏观汇率因子,时间序列,-0.0739,0.0,0.0,0.0,147,full_sample
8,dxy_logret,时间序列,0.0393,0.0,0.0,1.0,147,full_sample
9,vix,时间序列,0.0048,0.0,0.0,1.0,147,full_sample
10,vix_rank20,时间序列,0.0639,0.0,0.0,1.0,147,full_sample
11,real_rate,时间序列,0.0367,0.0,0.0,1.0,147,full_sample
12,real_rate_diff,时间序列,0.0452,0.0,0.0,1.0,147,full_sample
13,real_rate_rank20,时间序列,0.0516,0.0,0.0,1.0,147,full_sample
14,tf_dummy,时间序列,0.16,0.0,0.0,1.0,147,full_sample
15,cn_us_spread,时间序列,0.0288,0.0,0.0,1.0,147,full_sample
16,gold_oil_corr,时间序列,0.0636,0.0,0.0,1.0,147,full_sample
17,f1_second_mom,截面,0.0341,0.3233,0.1054,0.5782,147,full_sample
18,f2_mom_term,截面,,,,0.4762,147,full_sample
19,f3_amt_vol,截面,0.008,0.1563,0.0512,0.5374,147,full_sample
20,f4_vol_vol,截面,0.0069,0.207,0.0333,0.5102,147,full_sample
21,f5_turnover,截面,0.0047,0.2188,0.0217,0.4966,147,full_sample
22,f6_ls_total,截面,0.0229,0.2098,0.1091,0.5374,147,full_sample
23,f7_ls_change,截面,0.0026,0.2695,0.0097,0.5102,147,full_sample
24,f8_pv_rankcov,截面,-0.0031,0.2311,-0.0132,0.4966,147,full_sample
25,f9_pv_corr,截面,,,,0.449,147,full_sample
26,f10_first_div,截面,,,,0.4082,147,full_sample
27,f11_vol_range,截面,0.0206,0.223,0.0924,0.5306,147,full_sample
28,f12_amihud,截面,0.0056,0.1396,0.0401,0.551,147,full_sample
29,f13_rv,截面,0.0251,0.345,0.0728,0.5782,147,full_sample
30,f14_rs,截面,-0.0076,0.2671,-0.0283,0.4898,147,full_sample
31,f15_max5,截面,0.026,0.2886,0.09,0.5714,147,full_sample
32,f16_52w_high,截面,,,,0.4354,147,full_sample
33,f17_idio_vol,截面,-0.0265,0.2466,-0.1073,0.4422,147,full_sample
34,f18_mom_short,截面,0.025,0.3179,0.0788,0.5306,147,full_sample
35,f19_mom_mid,截面,0.0373,0.3519,0.106,0.5442,147,full_sample
36,f20_mom_long,截面,0.0056,0.3651,0.0152,0.5102,147,full_sample
37,f21_reversal,截面,0.025,0.3179,0.0788,0.5306,147,full_sample
38,f22_rsi,截面,0.0155,0.3093,0.0503,0.483,147,full_sample
-1,TOTAL,截面,0.027,0.3315,0.0815,0.551,147,full_sample
0,宏观增长因子,时间序列,-0.0511,0.0,0.0,0.0,147,expanding
1,宏观通胀因子_生活端,时间序列,-0.0245,0.0,0.0,0.0,147,expanding
2,宏观通胀因子_生产端,时间序列,-0.1449,0.0,0.0,0.0,147,expanding
3,无风险收益率,时间序列,0.1198,0.0,0.0,1.0,147,expanding
4,信用利差因子,时间序列,0.0368,0.0,0.0,1.0,147,expanding
5,期限利差因子_债,时间序列,-0.164,0.0,0.0,0.0,147,expanding
6,期限利差因子_股,时间序列,-0.0716,0.0,0.0,0.0,147,expanding
7,宏观汇率因子,时间序列,-0.0572,0.0,0.0,0.0,147,expanding
8,dxy_logret,时间序列,0.0913,0.0,0.0,1.0,147,expanding
9,vix,时间序列,-0.0249,0.0,0.0,0.0,147,expanding
10,vix_rank20,时间序列,0.2755,0.0,0.0,1.0,147,expanding
11,real_rate,时间序列,0.2584,0.0,0.0,1.0,147,expanding
12,real_rate_diff,时间序列,0.0222,0.0,0.0,1.0,147,expanding
13,real_rate_rank20,时间序列,0.2991,0.0,0.0,1.0,147,expanding
14,tf_dummy,时间序列,0.0893,0.0,0.0,1.0,147,expanding
15,cn_us_spread,时间序列,0.2557,0.0,0.0,1.0,147,expanding
