calmar,ann_return,vol,max_dd,sharpe,seed,status,sampling_seconds,est_seconds,port_seconds
0.1967,0.0471,0.1851,-0.2394,0.2543,42,OK,0.0,33.89,2.06
-0.0365,-0.0129,0.1725,-0.3526,-0.0746,43,OK,0.0,35.14,2.07
-0.0376,-0.0154,0.1851,-0.4084,-0.0829,44,OK,0.0,30.99,2.06
0.0269,0.007,0.1777,-0.2614,0.0395,45,OK,0.0,33.82,2.11
0.1299,0.0436,0.1795,-0.3355,0.2428,46,OK,0.0,35.8,2.06
0.301,0.0866,0.1909,-0.2876,0.4535,47,OK,0.0,32.85,2.05
0.2917,0.0619,0.1735,-0.2121,0.3565,48,OK,0.0,32.3,2.05
0.0164,0.0054,0.1833,-0.3307,0.0296,49,OK,0.0,32.41,2.08
-0.098,-0.0389,0.1761,-0.3967,-0.2207,50,OK,0.0,30.47,2.04
-0.0178,-0.0063,0.1706,-0.3536,-0.0369,51,OK,0.0,33.68,2.06
0.1187,0.0348,0.1723,-0.2929,0.2018,52,OK,0.0,30.23,2.07
0.167,0.0454,0.1818,-0.2715,0.2495,53,OK,0.0,33.71,2.07
-0.0166,-0.0059,0.1753,-0.3551,-0.0337,54,OK,0.0,33.63,2.05
0.2012,0.0586,0.1887,-0.2914,0.3107,55,OK,0.0,33.46,2.05
-0.0627,-0.0225,0.1811,-0.3591,-0.1243,56,OK,0.0,31.98,2.06
