param,value,top_n,max_weight,vol_window,full_calmar,oos_calmar,oos_sharpe,oos_dd,oos_ann,start_mean,start_cv,seconds
default,baseline,10,0.25,26,0.8813,1.8913,1.6776,-0.1594,0.3015,1.0557,0.4872,154.0
top_n,5,10,0.25,26,1.3069,4.7082,2.7872,-0.1261,0.5937,1.7067,0.4893,153.3
top_n,8,10,0.25,26,1.0906,2.6213,2.1155,-0.1511,0.3961,1.2552,0.4724,153.8
top_n,15,10,0.25,26,0.5988,0.935,1.0303,-0.1874,0.1752,0.6907,0.4793,154.8
top_n,20,10,0.25,26,0.3228,0.3642,0.5064,-0.2323,0.0846,0.337,0.5285,155.7
max_weight,0.15,10,0.25,26,0.8531,1.7701,1.6248,-0.1673,0.2961,1.0419,0.4947,155.0
max_weight,0.2,10,0.25,26,0.869,1.8868,1.6703,-0.1594,0.3007,1.0518,0.4897,154.5
max_weight,0.3,10,0.25,26,0.8865,1.8916,1.6779,-0.1594,0.3016,1.0569,0.4864,154.8
vol_window,13,10,0.25,26,0.8958,1.8251,1.64,-0.162,0.2957,1.0502,0.503,154.4
vol_window,52,10,0.25,26,0.8335,1.945,1.7204,-0.159,0.3092,1.0773,0.5026,154.3
