calmar,ann_return,vol,max_dd,sharpe,seconds,rate,seed,status,note
1.8913,0.3015,0.1797,-0.1594,1.6776,29.4,0.0,-1,OK,baseline
-0.0752,-0.032,0.1822,-0.4257,-0.1758,2.1,0.05,42,OK,mask_5_42
0.1213,0.0334,0.1896,-0.2755,0.1762,2.1,0.05,43,OK,mask_5_43
-0.0843,-0.0345,0.1846,-0.4095,-0.187,2.1,0.05,44,OK,mask_5_44
-0.1894,-0.097,0.2116,-0.5122,-0.4585,1.9,0.1,42,OK,mask_10_42
0.0552,0.0204,0.2251,-0.369,0.0906,1.9,0.1,43,OK,mask_10_43
-0.0298,-0.0108,0.2255,-0.3634,-0.048,1.9,0.1,44,OK,mask_10_44
-0.1802,-0.1234,0.2889,-0.6852,-0.4273,1.4,0.2,42,OK,mask_20_42
0.0488,0.026,0.2647,-0.5326,0.0983,1.4,0.2,43,OK,mask_20_43
0.0765,0.0271,0.2792,-0.3537,0.097,1.4,0.2,44,OK,mask_20_44
