param,value,lambda_tv,lambda_l1,window_size,rho,oos_calmar,oos_sharpe,oos_dd,oos_ann,start_cv,note,full_calmar,full_ann,full_vol,full_dd,full_sharpe,oos_vol,start_mean,start_std,start_n,seconds
default,baseline,0.05,0.001,52,1.0,1.8913,1.6776,-0.1594,0.3015,0.487,from_phase0,,,,,,,,,,
lambda_tv,0.005,0.05,0.001,52,1.0,1.4022,0.0,0.0,0.0,0.53,from_history,,,,,,,,,,
lambda_tv,0.02,0.05,0.001,52,1.0,2.1182,0.0,0.0,0.0,0.486,from_history,,,,,,,,,,
lambda_tv,0.07,0.05,0.001,52,1.0,2.1952,0.0,0.0,0.0,0.488,from_history,,,,,,,,,,
lambda_tv,0.1,0.05,0.001,52,1.0,1.9728,0.0,0.0,0.0,0.495,from_history,,,,,,,,,,
lambda_tv,0.2,0.05,0.001,52,1.0,1.4612,0.0,0.0,0.0,0.513,from_history,,,,,,,,,,
lambda_l1,0.0001,0.05,0.001,52,1.0,1.8913,0.0,0.0,0.0,0.487,from_history,,,,,,,,,,
lambda_l1,0.0005,0.05,0.001,52,1.0,1.8913,0.0,0.0,0.0,0.487,from_history,,,,,,,,,,
lambda_l1,0.002,0.05,0.001,52,1.0,1.8913,0.0,0.0,0.0,0.487,from_history,,,,,,,,,,
lambda_l1,0.005,0.05,0.001,52,1.0,1.8913,0.0,0.0,0.0,0.487,from_history,,,,,,,,,,
lambda_l1,0.01,0.05,0.001,52,1.0,1.8913,0.0,0.0,0.0,0.487,from_history,,,,,,,,,,
window_size,26,0.05,0.001,52,1.0,1.769,0.0,0.0,0.0,0.488,from_history,,,,,,,,,,
window_size,78,0.05,0.001,52,1.0,1.8488,0.0,0.0,0.0,0.488,from_history,,,,,,,,,,
window_size,104,0.05,0.001,52,1.0,1.7965,0.0,0.0,0.0,0.488,from_history,,,,,,,,,,
window_size,130,0.05,0.001,52,1.0,1.8169,0.0,0.0,0.0,0.488,from_history,,,,,,,,,,
window_size,156,0.05,0.001,52,1.0,1.8082,0.0,0.0,0.0,0.489,from_history,,,,,,,,,,
rho,0.5,0.05,0.001,52,1.0,1.8075,0.0,0.0,0.0,0.496,from_history,,,,,,,,,,
rho,2.0,0.05,0.001,52,1.0,1.9717,1.6594,-0.1526,0.3009,0.485,newly_run,0.8736,0.2753,0.1916,-0.3152,1.4367,0.1813,1.0481,0.5084,5.0,117.1
rho,5.0,0.05,0.001,52,1.0,1.7152,1.6533,-0.1747,0.2997,0.4921,newly_run,0.8691,0.2739,0.192,-0.3152,1.4263,0.1812,1.0405,0.5121,5.0,84.2
