asset,asset_name,version,AnnRet,Vol,Sharpe,MaxDD,Calmar,MeanBearPct
510300,沪深300,v8_base,0.0379,0.0913,0.4145,-0.1279,0.2961,0.5591
510300,沪深300,v8_3state,-0.0084,0.1201,-0.07,-0.318,-0.0264,0.3717
510300,沪深300,v8_3state_macro,0.0573,0.1287,0.4449,-0.2002,0.286,0.3762
510300,沪深300,v8_2state_macro,-0.0471,0.0781,-0.6034,-0.274,-0.172,0.4813
511260,国债,v8_base,0.0234,0.0135,1.7364,-0.0119,1.9608,0.4645
511260,国债,v8_3state,0.0296,0.014,2.109,-0.0154,1.918,0.3335
511260,国债,v8_3state_macro,0.0334,0.0154,2.1733,-0.0169,1.978,0.3168
511260,国债,v8_2state_macro,0.017,0.0088,1.9222,-0.0087,1.9578,0.4495
518880,黄金,v8_base,0.0246,0.0611,0.4032,-0.0877,0.2808,0.4659
518880,黄金,v8_3state,0.1759,0.1105,1.5921,-0.1644,1.0699,0.2962
518880,黄金,v8_3state_macro,0.129,0.1172,1.1003,-0.1577,0.818,0.3405
518880,黄金,v8_2state_macro,0.0493,0.0822,0.5994,-0.1602,0.3075,0.3986
159915,创业板,v8_base,-0.0473,0.1286,-0.3676,-0.3804,-0.1243,0.6125
159915,创业板,v8_3state,0.0078,0.2221,0.035,-0.3752,0.0207,0.338
159915,创业板,v8_3state_macro,0.0519,0.1963,0.2644,-0.4619,0.1124,0.309
159915,创业板,v8_2state_macro,0.0112,0.1146,0.0977,-0.2467,0.0454,0.5475
512760,半导体,v8_base,0.0515,0.2581,0.1995,-0.4768,0.108,0.2872
512760,半导体,v8_3state,0.1001,0.2406,0.4159,-0.3822,0.2619,0.1447
512760,半导体,v8_3state_macro,0.1759,0.2453,0.7171,-0.2584,0.6809,0.1875
512760,半导体,v8_2state_macro,0.1021,0.26,0.3928,-0.4316,0.2366,0.3531
