version,name,ann_return,vol,sharpe,max_drawdown,calmar,win_rate,skew
v7_14_nav,v7_14_nav,0.2197,0.1887,1.1641,-0.2831,0.7759,0.5416,-0.2337
v8_optimized_nav,v8_optimized_nav,0.1596,0.1423,1.1212,-0.1729,0.923,0.5421,-0.5432
v6_2_ablation_navs_v2,v6_2_ablation_navs_v2,0.1658,0.1662,0.9975,-0.1681,0.9863,0.456,-0.22
v6_2_threshold_screening_navs,v6_2_threshold_screening_navs,0.1106,0.156,0.7089,-0.2745,0.403,0.4677,-0.6373
v6_2_ablation_v3key3,v6_2_ablation_v3key3,0.1386,0.1609,0.8613,-0.2224,0.6231,0.4555,-0.1151
unified_v1v5_navs_calB,unified_v1v5_navs_calB,0.1553,0.1629,0.9534,-0.1815,0.8559,0.4711,-0.2504
v6_2_phase4_warmup_ablation,v6_2_phase4_warmup_ablation,0.046,0.2183,0.2105,-0.4475,0.1027,0.4968,0.0063
unified_v1v5_navs_calA,unified_v1v5_navs_calA,0.1695,0.1885,0.8993,-0.1908,0.8885,0.5197,-0.0092
v6_2_ablation_v3_metrics,v6_2_ablation_v3_metrics,0.153,0.1641,0.9323,-0.1814,0.8433,0.473,-0.2363
unified_v1v5_navs,unified_v1v5_navs,0.1507,0.1722,0.8752,-0.1941,0.7767,0.4682,-0.1945
v6_2_phase4_grid_metrics,v6_2_phase4_grid_metrics,0.046,0.2183,0.2105,-0.4475,0.1027,0.4968,0.0063
v6_2_ablation_navs,v6_2_ablation_navs,0.1187,0.1623,0.7316,-0.2901,0.4093,0.4638,-0.7245
v6_navs,v6_navs,0.1315,0.1592,0.8259,-0.2594,0.507,0.4672,-0.7155
v6_2_phase1_ablation,v6_2_phase1_ablation,0.153,0.1641,0.9323,-0.1814,0.8433,0.473,-0.2363
v6_1_v6_2_combined_navs,v6_1_v6_2_combined_navs,0.164,0.162,1.0124,-0.2159,0.7596,0.4716,-0.5429
combo_navs_unified52,combo_navs_unified52,0.1553,0.1629,0.9534,-0.1815,0.8559,0.4711,-0.2504
v6_2_phase3_qr_ablation,v6_2_phase3_qr_ablation,0.046,0.2183,0.2105,-0.4475,0.1027,0.4968,0.0063
v5_1_ablation_navs,v5_1_ablation_navs,0.1553,0.1629,0.9535,-0.1815,0.856,0.4711,-0.2504
v6_1_ablation_navs,v6_1_ablation_navs,0.1433,0.1506,0.9519,-0.181,0.7918,0.472,-0.3278
v8_method_b_nav,v8_method_b_nav,0.1847,0.1343,1.3751,-0.1648,1.1206,0.5479,-0.5709
