asset,asset_name,start_date,best_cost,cost_min,cost_max,cost_std,centroid_distance,n_bull_days,n_bear_days,bull_cum_ret,bear_cum_ret,class_ret_diff,all_costs
510300,沪深300,2018-01-01,2698.6778004910425,2698.6778004910425,2717.4452556006836,8.621638691851949,1.477,259,712,21.5732,16.581,4.9922,"[2717.45, 2698.68, 2717.45, 2698.68, 2703.13]"
510300,沪深300,2019-01-01,2783.7760200215816,2783.7760200215816,2878.8657821018846,32.347952467211464,1.2774,286,685,24.7917,13.0861,11.7055,"[2818.47, 2783.78, 2818.47, 2878.87, 2851.01]"
510300,沪深300,2020-01-01,2705.5332876628627,2705.5332876628627,3066.8298136153153,130.51200772718093,1.4393,274,697,23.6583,-26.1679,49.8262,"[2718.1, 2705.53, 2792.59, 2817.88, 3066.83]"
511260,国债,2018-01-01,3023.936147703207,3023.936147703207,3326.598985387296,112.03208425243542,1.1866,529,442,9.4815,8.6486,0.8328,"[3326.15, 3192.25, 3326.6, 3023.94, 3182.88]"
511260,国债,2019-01-01,2920.9200290732388,2920.9200290732388,3147.1456028732136,96.16851738755277,1.1931,534,437,7.566,4.2352,3.3308,"[2928.62, 3087.29, 2924.91, 3147.15, 2920.92]"
511260,国债,2020-01-01,2856.795839426323,2856.795839426323,3186.3471890416004,118.1141341553096,1.4017,776,195,7.5679,5.9416,1.6263,"[2856.8, 3131.45, 3140.21, 3133.0, 3186.35]"
518880,黄金,2018-01-01,2826.1215767477743,2826.1215767477743,2880.893430183488,21.02723999695483,1.3139,620,351,19.1805,16.831,2.3495,"[2829.17, 2880.89, 2829.17, 2829.17, 2826.12]"
518880,黄金,2019-01-01,3052.15354708574,3052.15354708574,3074.3996299146725,7.888341848287699,1.0678,602,369,25.813,11.2042,14.6088,"[3061.6, 3074.4, 3055.83, 3052.15, 3055.27]"
518880,黄金,2020-01-01,2818.408373661964,2818.408373661964,2825.2566775812534,2.6827826167632187,1.2982,577,394,19.5526,10.3337,9.2189,"[2818.41, 2821.13, 2825.26, 2818.41, 2818.41]"
159915,创业板,2018-01-01,2971.7455392331817,2971.7455392331817,2979.097090392928,2.686183024687664,1.1672,738,233,53.4847,19.3596,34.1251,"[2979.1, 2976.89, 2979.1, 2976.63, 2971.75]"
159915,创业板,2019-01-01,2945.533447560265,2945.533447560265,3255.5244786039834,105.82121883311417,1.0223,669,302,82.6437,-8.426,91.0697,"[3041.17, 3255.52, 3044.86, 2945.53, 3147.84]"
159915,创业板,2020-01-01,2760.3386321995495,2760.3386321995495,2764.872332459135,1.4934671180891879,1.2964,541,430,11.5829,-17.1539,28.7369,"[2763.45, 2760.34, 2764.87, 2762.57, 2763.45]"
512760,半导体,2018-01-01,2760.8484474064517,2760.8484474064517,2900.4332954493852,51.41272215646117,1.3001,417,554,80.9674,7.6413,73.3261,"[2838.01, 2760.85, 2843.07, 2900.43, 2900.43]"
512760,半导体,2019-01-01,2760.8484474064517,2760.8484474064517,2900.4332954493852,51.41272215646117,1.3001,417,554,80.9674,7.6413,73.3261,"[2838.01, 2760.85, 2843.07, 2900.43, 2900.43]"
512760,半导体,2020-01-01,2810.9395910771686,2810.9395910771686,2903.2071062364043,44.12484229732458,1.3008,302,669,-2.6364,-14.5891,11.9527,"[2903.21, 2811.74, 2899.82, 2811.74, 2810.94]"
