version,cost_bp,ann_return,vol,sharpe,max_drawdown,calmar
v8_method_b,0,0.1162,0.1065,1.0909,-0.099,1.1734
v8_method_b,10,0.0914,0.1064,0.8592,-0.1228,0.7446
v8_method_b,20,0.0672,0.1064,0.6315,-0.1604,0.4188
v8_prob_2state,0,0.1133,0.1025,1.1059,-0.1496,0.7574
v8_prob_2state,10,0.0839,0.1024,0.8196,-0.1619,0.5184
v8_prob_2state,20,0.0553,0.1024,0.5396,-0.174,0.3176
v8_prob_3state,0,0.1227,0.1088,1.1278,-0.1594,0.7693
v8_prob_3state,10,0.091,0.1087,0.8375,-0.1724,0.5278
v8_prob_3state,20,0.0602,0.1087,0.554,-0.1852,0.3251
v8_uniform,0,0.2268,0.2022,1.1218,-0.2831,0.8012
v8_uniform,10,0.1631,0.202,0.8073,-0.3038,0.5368
v8_uniform,20,0.1026,0.2021,0.5076,-0.3241,0.3165
