asset,asset_name,version,start_date,ann_return,vol,sharpe,max_drawdown,calmar,n_windows,mean_position,position_std,total_turnover,cost_bp
510300,沪深300,v8_method_b,2018-01-01,0.0416,0.1866,0.2232,-0.598,0.0696,14,1.0,0.0,0.0,0
510300,沪深300,v8_method_b,2018-01-01,0.0416,0.1866,0.2232,-0.598,0.0696,14,1.0,0.0,0.0,10
510300,沪深300,v8_method_b,2018-01-01,0.0416,0.1866,0.2232,-0.598,0.0696,14,1.0,0.0,0.0,20
510300,沪深300,v8_prob_2state,2018-01-01,0.025,0.0933,0.2685,-0.3543,0.0707,14,0.5,0.0,0.5,0
510300,沪深300,v8_prob_2state,2018-01-01,0.025,0.0933,0.2685,-0.3543,0.0707,14,0.5,0.0,0.5,10
510300,沪深300,v8_prob_2state,2018-01-01,0.025,0.0933,0.2685,-0.3543,0.0707,14,0.5,0.0,0.5,20
510300,沪深300,v8_prob_3state,2018-01-01,0.0264,0.0995,0.2655,-0.3736,0.0707,14,0.5333333333333332,1.1102230246251565e-16,0.4667,0
510300,沪深300,v8_prob_3state,2018-01-01,0.0264,0.0995,0.2655,-0.3736,0.0707,14,0.5333333333333332,1.1102230246251565e-16,0.4667,10
510300,沪深300,v8_prob_3state,2018-01-01,0.0264,0.0995,0.2655,-0.3736,0.0707,14,0.5333333333333332,1.1102230246251565e-16,0.4667,20
510300,沪深300,v8_uniform,2018-01-01,0.0416,0.1866,0.2232,-0.598,0.0696,14,1.0,0.0,0.0,0
510300,沪深300,v8_uniform,2018-01-01,0.0416,0.1866,0.2232,-0.598,0.0696,14,1.0,0.0,0.0,10
510300,沪深300,v8_uniform,2018-01-01,0.0416,0.1866,0.2232,-0.598,0.0696,14,1.0,0.0,0.0,20
510300,沪深300,v8_method_b,2019-01-01,0.1004,0.1897,0.5291,-0.3969,0.2528,10,1.0,0.0,0.0,0
510300,沪深300,v8_method_b,2019-01-01,0.1004,0.1897,0.5291,-0.3969,0.2528,10,1.0,0.0,0.0,10
510300,沪深300,v8_method_b,2019-01-01,0.1004,0.1897,0.5291,-0.3969,0.2528,10,1.0,0.0,0.0,20
510300,沪深300,v8_prob_2state,2019-01-01,0.0537,0.0948,0.5661,-0.2168,0.2476,10,0.5,0.0,0.5,0
510300,沪深300,v8_prob_2state,2019-01-01,0.0537,0.0948,0.5661,-0.2168,0.2476,10,0.5,0.0,0.5,10
510300,沪深300,v8_prob_2state,2019-01-01,0.0537,0.0948,0.5661,-0.2168,0.2476,10,0.5,0.0,0.5,20
510300,沪深300,v8_prob_3state,2019-01-01,0.057,0.1012,0.5638,-0.23,0.248,10,0.5333333333333332,1.1102230246251565e-16,0.4667,0
510300,沪深300,v8_prob_3state,2019-01-01,0.057,0.1012,0.5638,-0.23,0.248,10,0.5333333333333332,1.1102230246251565e-16,0.4667,10
510300,沪深300,v8_prob_3state,2019-01-01,0.057,0.1012,0.5638,-0.23,0.248,10,0.5333333333333332,1.1102230246251565e-16,0.4667,20
510300,沪深300,v8_uniform,2019-01-01,0.1004,0.1897,0.5291,-0.3969,0.2528,10,1.0,0.0,0.0,0
510300,沪深300,v8_uniform,2019-01-01,0.1004,0.1897,0.5291,-0.3969,0.2528,10,1.0,0.0,0.0,10
510300,沪深300,v8_uniform,2019-01-01,0.1004,0.1897,0.5291,-0.3969,0.2528,10,1.0,0.0,0.0,20
510300,沪深300,v8_method_b,2020-01-01,0.2252,0.1995,1.1287,-0.2036,1.1062,6,1.0,0.0,0.0,0
