version,smooth,smooth_alpha,smooth_threshold,cost_bp,ann_return,vol,sharpe,max_drawdown,calmar,weekly_turnover
v8_method_b,OFF,N/A,N/A,0,0.119,0.106,1.1221,-0.099,1.2015,22.2852
v8_method_b,OFF,N/A,N/A,10,0.0942,0.1059,0.8893,-0.1228,0.767,22.2852
v8_method_b,OFF,N/A,N/A,20,0.0699,0.1059,0.6603,-0.1604,0.4357,22.2852
v8_method_b,ON,0.7,0.01,0,0.118,0.1318,0.8954,-0.1424,0.829,14.4535
v8_method_b,ON,0.7,0.01,10,0.1018,0.1317,0.7728,-0.1485,0.6854,14.4535
v8_method_b,ON,0.7,0.01,20,0.0858,0.1317,0.6516,-0.1546,0.5549,14.4535
v8_prob_2state,OFF,N/A,N/A,0,0.1098,0.1021,1.0755,-0.1496,0.7338,24.2592
v8_prob_2state,OFF,N/A,N/A,10,0.0806,0.102,0.7899,-0.1619,0.4977,24.2592
v8_prob_2state,OFF,N/A,N/A,20,0.0521,0.102,0.5106,-0.174,0.2994,24.2592
v8_prob_2state,ON,0.7,0.01,0,0.1033,0.1265,0.8164,-0.1651,0.6257,14.2916
v8_prob_2state,ON,0.7,0.01,10,0.0863,0.1264,0.6826,-0.172,0.5017,14.2916
v8_prob_2state,ON,0.7,0.01,20,0.0696,0.1264,0.5504,-0.1789,0.3888,14.2916
v8_prob_3state,OFF,N/A,N/A,0,0.1189,0.1084,1.0968,-0.1594,0.7455,26.1444
v8_prob_3state,OFF,N/A,N/A,10,0.0874,0.1083,0.8073,-0.1724,0.5069,26.1444
v8_prob_3state,OFF,N/A,N/A,20,0.0568,0.1083,0.5246,-0.1852,0.3068,26.1444
v8_prob_3state,ON,0.7,0.01,0,0.1132,0.132,0.8576,-0.177,0.6397,15.7534
v8_prob_3state,ON,0.7,0.01,10,0.0945,0.1319,0.716,-0.1846,0.5118,15.7534
v8_prob_3state,ON,0.7,0.01,20,0.076,0.1319,0.5764,-0.1921,0.3957,15.7534
v8_uniform,OFF,N/A,N/A,0,0.2193,0.2015,1.0882,-0.2831,0.7746,47.2758
v8_uniform,OFF,N/A,N/A,10,0.1561,0.2013,0.7755,-0.3038,0.5139,47.2758
v8_uniform,OFF,N/A,N/A,20,0.0962,0.2014,0.4776,-0.3241,0.2967,47.2758
v8_uniform,ON,0.7,0.01,0,0.1881,0.1801,1.0446,-0.2441,0.7706,26.9091
v8_uniform,ON,0.7,0.01,10,0.1529,0.1799,0.8498,-0.2564,0.5963,26.9091
v8_uniform,ON,0.7,0.01,20,0.1188,0.1799,0.6601,-0.2686,0.4421,26.9091
