version,alpha,threshold,cost_bp,ann_return,vol,sharpe,max_drawdown,calmar,weekly_turnover
v8_method_b,0.5,0.01,0,0.1123,0.1536,0.7311,-0.1767,0.6357,10.1173
v8_method_b,0.5,0.01,10,0.101,0.1536,0.6577,-0.1808,0.5587,10.1173
v8_method_b,0.5,0.01,20,0.0898,0.1536,0.5848,-0.1849,0.4858,10.1173
v8_method_b,0.5,0.02,0,0.0979,0.1698,0.5764,-0.192,0.5099,6.5512
v8_method_b,0.5,0.02,10,0.091,0.1698,0.5362,-0.2018,0.4512,6.5512
v8_method_b,0.5,0.02,20,0.0842,0.1697,0.4963,-0.2115,0.3983,6.5512
v8_method_b,0.5,0.05,0,0.0658,0.1716,0.3836,-0.2303,0.2859,1.3549
v8_method_b,0.5,0.05,10,0.0652,0.1716,0.3797,-0.2316,0.2814,1.3549
v8_method_b,0.5,0.05,20,0.0645,0.1716,0.3759,-0.2329,0.277,1.3549
v8_method_b,0.7,0.01,0,0.118,0.1318,0.8954,-0.1424,0.829,14.4535
v8_method_b,0.7,0.01,10,0.1018,0.1317,0.7728,-0.1485,0.6854,14.4535
v8_method_b,0.7,0.01,20,0.0858,0.1317,0.6516,-0.1546,0.5549,14.4535
v8_method_b,0.7,0.02,0,0.1194,0.1604,0.7446,-0.188,0.6352,12.5396
v8_method_b,0.7,0.02,10,0.1055,0.1603,0.6582,-0.1931,0.5465,12.5396
v8_method_b,0.7,0.02,20,0.0918,0.1603,0.5727,-0.1982,0.4633,12.5396
v8_method_b,0.7,0.05,0,0.0864,0.1745,0.4949,-0.215,0.4016,4.4319
v8_method_b,0.7,0.05,10,0.0821,0.1745,0.4705,-0.2212,0.371,4.4319
v8_method_b,0.7,0.05,20,0.0778,0.1745,0.4462,-0.2274,0.3423,4.4319
v8_method_b,0.9,0.01,0,0.1224,0.1225,0.9991,-0.124,0.9875,18.6973
v8_method_b,0.9,0.01,10,0.1015,0.1224,0.8294,-0.132,0.7691,18.6973
v8_method_b,0.9,0.01,20,0.081,0.1224,0.6622,-0.1403,0.5775,18.6973
v8_method_b,0.9,0.02,0,0.1158,0.1286,0.9003,-0.1416,0.8178,17.584
v8_method_b,0.9,0.02,10,0.0963,0.1285,0.7491,-0.149,0.6462,17.584
v8_method_b,0.9,0.02,20,0.0771,0.1284,0.6001,-0.1563,0.4931,17.584
v8_method_b,0.9,0.05,0,0.1155,0.161,0.7176,-0.1972,0.5858,14.91
v8_method_b,0.9,0.05,10,0.0988,0.161,0.6137,-0.2037,0.485,14.91
v8_method_b,0.9,0.05,20,0.0823,0.1609,0.5113,-0.217,0.3792,14.91
